"MCLX01000029.1 Pseudomonas aeruginosa 39016 IPC1264_29.1, whole genome shotgun sequence"
"NSUK01000036.1 Pseudomonas aeruginosa strain ESP06B IPC710_36.1, whole genome shotgun sequence"
"NSUO01000016.1 Pseudomonas aeruginosa strain C5311 IPC700_16.1, whole genome shotgun sequence"
"NSUP01000024.1 Pseudomonas aeruginosa strain SWPA15J=NSWPA15a IPC699_24.1, whole genome shotgun sequence"
"NSUS01000026.1 Pseudomonas aeruginosa strain A22 IPC695_26.1, whole genome shotgun sequence"
"NSUR01000025.1 Pseudomonas aeruginosa strain A237 IPC696_25.1, whole genome shotgun sequence"
"NSUT01000027.1 Pseudomonas aeruginosa strain A19 IPC694_27.1, whole genome shotgun sequence"
"NSUX01000020.1 Pseudomonas aeruginosa strain A11 IPC690_20.1, whole genome shotgun sequence"
"NSUW01000021.1 Pseudomonas aeruginosa strain A13 IPC691_21.1, whole genome shotgun sequence"
"NSUV01000017.1 Pseudomonas aeruginosa strain A15 IPC692_17.1, whole genome shotgun sequence"
"NSUU01000020.1 Pseudomonas aeruginosa strain A17 IPC693_20.1, whole genome shotgun sequence"
"NSUZ01000028.1 Pseudomonas aeruginosa strain A9 IPC688_28.1, whole genome shotgun sequence"
"NSUY01000023.1 Pseudomonas aeruginosa strain A10 IPC689_23.1, whole genome shotgun sequence"
"NSVA01000037.1 Pseudomonas aeruginosa strain So098 IPC677_37.1, whole genome shotgun sequence"
"NSVB01000031.1 Pseudomonas aeruginosa strain PN586(35)w IPC669_31.1, whole genome shotgun sequence"
"NSVE01000036.1 Pseudomonas aeruginosa strain HPA16 IPC651_36.1, whole genome shotgun sequence"
"NSVF01000036.1 Pseudomonas aeruginosa strain HPA12 IPC648_36.1, whole genome shotgun sequence"
"NSVD01000035.1 Pseudomonas aeruginosa strain Co398373 IPC664_35.1, whole genome shotgun sequence"
"NSVJ01000028.1 Pseudomonas aeruginosa strain Rsan-ver IPC593_28.1, whole genome shotgun sequence"
"NSVH01000034.1 Pseudomonas aeruginosa strain HPA6 IPC642_34.1, whole genome shotgun sequence"
"NSVG01000032.1 Pseudomonas aeruginosa strain HPA8 IPC644_32.1, whole genome shotgun sequence"
"NSVI01000012.1 Pseudomonas aeruginosa strain PUPa3 IPC595_12.1, whole genome shotgun sequence"
"NSVL01000020.1 Pseudomonas aeruginosa strain AMT0046-109 IPC563_20.1, whole genome shotgun sequence"
"NSVP01000017.1 Pseudomonas aeruginosa strain AMT0020-1 IPC550_17.1, whole genome shotgun sequence"
"NSVN01000032.1 Pseudomonas aeruginosa strain AMT0026-67 IPC556_32.1, whole genome shotgun sequence"
"NSVR01000024.1 Pseudomonas aeruginosa strain AMT0006-66 IPC547_24.1, whole genome shotgun sequence"
"NSVT01000026.1 Pseudomonas aeruginosa strain AMT0005-138 IPC543_26.1, whole genome shotgun sequence"
"NSVS01000021.1 Pseudomonas aeruginosa strain AMT0006-1 IPC544_21.1, whole genome shotgun sequence"
"NSVV01000025.1 Pseudomonas aeruginosa strain AUS719 IPC534_25.1, whole genome shotgun sequence"
"NSVW01000031.1 Pseudomonas aeruginosa strain AUS720 IPC510_31.1, whole genome shotgun sequence"
"NSWA01000024.1 Pseudomonas aeruginosa strain AUS305 IPC506_24.1, whole genome shotgun sequence"
"NSVX01000025.1 Pseudomonas aeruginosa strain AUS149 IPC509_25.1, whole genome shotgun sequence"
"NSVY01000022.1 Pseudomonas aeruginosa strain AUS309 IPC508_22.1, whole genome shotgun sequence"
"NSVZ01000018.1 Pseudomonas aeruginosa strain AUS307 IPC507_18.1, whole genome shotgun sequence"
"NSWB01000020.1 Pseudomonas aeruginosa strain AUS345 IPC496_20.1, whole genome shotgun sequence"
"NSWC01000019.1 Pseudomonas aeruginosa strain AUS344 IPC495_19.1, whole genome shotgun sequence"
"NSWD01000019.1 Pseudomonas aeruginosa strain AUS021 IPC494_19.1, whole genome shotgun sequence"
"NSWE01000022.1 Pseudomonas aeruginosa strain AUS422 IPC491_22.1, whole genome shotgun sequence"
"NSWG01000032.1 Pseudomonas aeruginosa strain AUS595 IPC478_32.1, whole genome shotgun sequence"
"NSWI01000035.1 Pseudomonas aeruginosa strain AUS441 IPC476_35.1, whole genome shotgun sequence"
"NSWF01000044.1 Pseudomonas aeruginosa strain AUS457 IPC483_44.1, whole genome shotgun sequence"
"NSWH01000033.1 Pseudomonas aeruginosa strain AUS442 IPC477_33.1, whole genome shotgun sequence"
"NSWK01000035.1 Pseudomonas aeruginosa strain AUS439 IPC474_35.1, whole genome shotgun sequence"
"NSWL01000037.1 Pseudomonas aeruginosa strain AUS436 IPC472_37.1, whole genome shotgun sequence"
"NSWJ01000031.1 Pseudomonas aeruginosa strain AUS440 IPC475_31.1, whole genome shotgun sequence"
"NSWM01000037.1 Pseudomonas aeruginosa strain AUS434 IPC471_37.1, whole genome shotgun sequence"
"NSWN01000035.1 Pseudomonas aeruginosa strain AUS050 IPC470_35.1, whole genome shotgun sequence"
"NSWQ01000027.1 Pseudomonas aeruginosa strain AUS674 IPC462_27.1, whole genome shotgun sequence"
"NSWO01000025.1 Pseudomonas aeruginosa strain AUS537 IPC468_25.1, whole genome shotgun sequence"
"NSWP01000024.1 Pseudomonas aeruginosa strain AUS675 IPC463_24.1, whole genome shotgun sequence"
"NSWT01000032.1 Pseudomonas aeruginosa strain AUS353 IPC452_32.1, whole genome shotgun sequence"
"NSWS01000025.1 Pseudomonas aeruginosa strain AUS263 IPC453_25.1, whole genome shotgun sequence"
"NSWV01000027.1 Pseudomonas aeruginosa strain AUS499 IPC442_27.1, whole genome shotgun sequence"
"NSWW01000023.1 Pseudomonas aeruginosa strain AUS496 IPC441_23.1, whole genome shotgun sequence"
"NSWU01000036.1 Pseudomonas aeruginosa strain AUS507 IPC446_36.1, whole genome shotgun sequence"
"NSWY01000021.1 Pseudomonas aeruginosa strain AUS489 IPC438_21.1, whole genome shotgun sequence"
"NSWZ01000028.1 Pseudomonas aeruginosa strain AUS485 IPC436_28.1, whole genome shotgun sequence"
"NSWX01000024.1 Pseudomonas aeruginosa strain AUS491 IPC440_24.1, whole genome shotgun sequence"
"NSXC01000025.1 Pseudomonas aeruginosa strain AUS392 IPC426_25.1, whole genome shotgun sequence"
"NSXE01000025.1 Pseudomonas aeruginosa strain AUS154 IPC393_25.1, whole genome shotgun sequence"
"NSXH01000024.1 Pseudomonas aeruginosa strain AUS506 IPC389_24.1, whole genome shotgun sequence"
"NSXD01000011.1 Pseudomonas aeruginosa strain AUS165 IPC404_11.1, whole genome shotgun sequence"
"NSXJ01000045.1 Pseudomonas aeruginosa strain AUS138 IPC379_45.1, whole genome shotgun sequence"
"NSXK01000016.1 Pseudomonas aeruginosa strain AUS134 IPC375_16.1, whole genome shotgun sequence"
"NSXN01000020.1 Pseudomonas aeruginosa strain AUS119 IPC364_20.1, whole genome shotgun sequence"
"NSXO01000029.1 Pseudomonas aeruginosa strain AUS111 IPC358_29.1, whole genome shotgun sequence"
"NSXL01000025.1 Pseudomonas aeruginosa strain AUS124 IPC368_25.1, whole genome shotgun sequence"
"NSXQ01000019.1 Pseudomonas aeruginosa strain AUS105 IPC354_19.1, whole genome shotgun sequence"
"NSXP01000013.1 Pseudomonas aeruginosa strain AUS106 IPC355_13.1, whole genome shotgun sequence"
"NSXR01000028.1 Pseudomonas aeruginosa strain AUS503 IPC353_28.1, whole genome shotgun sequence"
"NSXS01000026.1 Pseudomonas aeruginosa strain AUS093 IPC352_26.1, whole genome shotgun sequence"
"NSXU01000044.1 Pseudomonas aeruginosa strain AUS077 IPC347_44.1, whole genome shotgun sequence"
"NSXW01000032.1 Pseudomonas aeruginosa strain AUS066 IPC345_32.1, whole genome shotgun sequence"
"NSXT01000023.1 Pseudomonas aeruginosa strain AUS089 IPC349_23.1, whole genome shotgun sequence"
"NSXV01000027.1 Pseudomonas aeruginosa strain AUS073 IPC346_27.1, whole genome shotgun sequence"
"NSXY01000034.1 Pseudomonas aeruginosa strain AUS702 IPC339_34.1, whole genome shotgun sequence"
"NSYA01000017.1 Pseudomonas aeruginosa strain AUS026 IPC334_17.1, whole genome shotgun sequence"
"NSXZ01000015.1 Pseudomonas aeruginosa strain AUS029 IPC336_15.1, whole genome shotgun sequence"
"NSYD01000022.1 Pseudomonas aeruginosa strain AUS389 IPC321_22.1, whole genome shotgun sequence"
"NSYE01000013.1 Pseudomonas aeruginosa strain AUS355 IPC312_13.1, whole genome shotgun sequence"
"NSYG01000021.1 Pseudomonas aeruginosa strain AUS336 IPC308_21.1, whole genome shotgun sequence"
"NSYF01000028.1 Pseudomonas aeruginosa strain AUS238 IPC309_28.1, whole genome shotgun sequence"
"NSYJ01000027.1 Pseudomonas aeruginosa strain AUS504 IPC297_27.1, whole genome shotgun sequence"
"NSYH01000062.1 Pseudomonas aeruginosa strain AUS058 IPC306_62.1, whole genome shotgun sequence"
"NSYL01000020.1 Pseudomonas aeruginosa strain AUS306 IPC294_20.1, whole genome shotgun sequence"
"NSYK01000027.1 Pseudomonas aeruginosa strain AUS328 IPC295_27.1, whole genome shotgun sequence"
"NSYP01000030.1 Pseudomonas aeruginosa strain AUS471 IPC282_30.1, whole genome shotgun sequence"
"NSYT01000034.1 Pseudomonas aeruginosa strain AUS407 IPC276_34.1, whole genome shotgun sequence"
"NSYS01000055.1 Pseudomonas aeruginosa strain AUS476 IPC277_55.1, whole genome shotgun sequence"
"NSYV01000016.1 Pseudomonas aeruginosa strain AUS088 IPC273_16.1, whole genome shotgun sequence"
"NSYY01000032.1 Pseudomonas aeruginosa strain AUS423 IPC264_32.1, whole genome shotgun sequence"
"NSYU01000018.1 Pseudomonas aeruginosa strain AUS343 IPC274_18.1, whole genome shotgun sequence"
"NSYW01000033.1 Pseudomonas aeruginosa strain AUS083 IPC271_33.1, whole genome shotgun sequence"
"NSZA01000036.1 Pseudomonas aeruginosa strain AUS232 IPC258_36.1, whole genome shotgun sequence"
"NSYZ01000019.1 Pseudomonas aeruginosa strain AUS275 IPC260_19.1, whole genome shotgun sequence"
"NSZC01000022.1 Pseudomonas aeruginosa strain AUS225 IPC251_22.1, whole genome shotgun sequence"
"NSZB01000018.1 Pseudomonas aeruginosa strain AUS229 IPC255_18.1, whole genome shotgun sequence"
"NSZI01000030.1 Pseudomonas aeruginosa strain AUS465 IPC227_30.1, whole genome shotgun sequence"
"NSZG01000027.1 Pseudomonas aeruginosa strain AUS210 IPC231_27.1, whole genome shotgun sequence"
"NSZF01000024.1 Pseudomonas aeruginosa strain AUS213 IPC234_24.1, whole genome shotgun sequence"
"NSZL01000028.1 Pseudomonas aeruginosa strain AUS195 IPC215_28.1, whole genome shotgun sequence"
"NSZE01000040.1 Pseudomonas aeruginosa strain AUS502 IPC239_40.1, whole genome shotgun sequence"
"NSZN01000036.1 Pseudomonas aeruginosa strain AUS186 IPC205_36.1, whole genome shotgun sequence"
"NSZH01000040.1 Pseudomonas aeruginosa strain AUS438 IPC228_40.1, whole genome shotgun sequence"
"NSZJ01000014.1 Pseudomonas aeruginosa strain AUS207 IPC226_14.1, whole genome shotgun sequence"
"NSZM01000023.1 Pseudomonas aeruginosa strain AUS518 IPC212_23.1, whole genome shotgun sequence"
"NSZO01000030.1 Pseudomonas aeruginosa strain AUS185 IPC203_30.1, whole genome shotgun sequence"
"NSZQ01000033.1 Pseudomonas aeruginosa strain AUS127 IPC197_33.1, whole genome shotgun sequence"
"NSZP01000027.1 Pseudomonas aeruginosa strain AUS183 IPC201_27.1, whole genome shotgun sequence"
"NSZR01000027.1 Pseudomonas aeruginosa strain 39145 IPC109_27.1, whole genome shotgun sequence"
"NSZS01000038.1 Pseudomonas aeruginosa strain 934436V IPC108_38.1, whole genome shotgun sequence"
"NSZT01000024.1 Pseudomonas aeruginosa strain AT40 IPC107_24.1, whole genome shotgun sequence"
"NSZW01000026.1 Pseudomonas aeruginosa strain AT7 IPC104_26.1, whole genome shotgun sequence"
"NSZU01000037.1 Pseudomonas aeruginosa strain AT31 IPC106_37.1, whole genome shotgun sequence"
"NSZV01000028.1 Pseudomonas aeruginosa strain AT19 IPC105_28.1, whole genome shotgun sequence"
"NSZZ01000024.1 Pseudomonas aeruginosa strain 994 IPC101_24.1, whole genome shotgun sequence"
"NSZY01000027.1 Pseudomonas aeruginosa strain 886-1 IPC102_27.1, whole genome shotgun sequence"
"NTAB01000030.1 Pseudomonas aeruginosa strain 982 IPC99_30.1, whole genome shotgun sequence"
"NTAA01000024.1 Pseudomonas aeruginosa strain 1090 IPC100_24.1, whole genome shotgun sequence"
"NTAG01000035.1 Pseudomonas aeruginosa strain PA-W49 IPC25_35.1, whole genome shotgun sequence"
"NTAE01000032.1 Pseudomonas aeruginosa strain 903 IPC96_32.1, whole genome shotgun sequence"
"NTAF01000036.1 Pseudomonas aeruginosa strain Mi162 IPC90_36.1, whole genome shotgun sequence"
"NTAJ01000030.1 Pseudomonas aeruginosa strain PA-W41 IPC22_30.1, whole genome shotgun sequence"
"NTAK01000022.1 Pseudomonas aeruginosa strain PA-W35 IPC20_22.1, whole genome shotgun sequence"
"NTAM01000023.1 Pseudomonas aeruginosa strain PA-W30 IPC18_23.1, whole genome shotgun sequence"
"NTAH01000040.1 Pseudomonas aeruginosa strain PA-W48 IPC24_40.1, whole genome shotgun sequence"
"NTAL01000042.1 Pseudomonas aeruginosa strain PA-W34 IPC19_42.1, whole genome shotgun sequence"
"NTAN01000026.1 Pseudomonas aeruginosa strain PA-W27 IPC17_26.1, whole genome shotgun sequence"
"NTAP01000026.1 Pseudomonas aeruginosa strain PA-W25 IPC15_26.1, whole genome shotgun sequence"
"NTAQ01000019.1 Pseudomonas aeruginosa strain PA-W22 IPC14_19.1, whole genome shotgun sequence"
"NTAO01000023.1 Pseudomonas aeruginosa strain PA-W26 IPC16_23.1, whole genome shotgun sequence"
"NTAR01000031.1 Pseudomonas aeruginosa strain PA-W20 IPC13_31.1, whole genome shotgun sequence"
"NTAS01000016.1 Pseudomonas aeruginosa strain PA-W19 IPC12_16.1, whole genome shotgun sequence"
"NTAT01000027.1 Pseudomonas aeruginosa strain PA-W18 IPC11_27.1, whole genome shotgun sequence"
"NTAV01000023.1 Pseudomonas aeruginosa strain PA-W15 IPC9_23.1, whole genome shotgun sequence"
"NTAU01000033.1 Pseudomonas aeruginosa strain PA-W17 IPC10_33.1, whole genome shotgun sequence"
"NTAY01000032.1 Pseudomonas aeruginosa strain PA-W11 IPC6_32.1, whole genome shotgun sequence"
"NTAW01000019.1 Pseudomonas aeruginosa strain PA-W13 IPC8_19.1, whole genome shotgun sequence"
"NTAZ01000018.1 Pseudomonas aeruginosa strain PA-W9 IPC5_18.1, whole genome shotgun sequence"
"NTAX01000033.1 Pseudomonas aeruginosa strain PA-W12 IPC7_33.1, whole genome shotgun sequence"
"NTBC01000021.1 Pseudomonas aeruginosa strain PA-W6 IPC2_21.1, whole genome shotgun sequence"
"NTBD01000024.1 Pseudomonas aeruginosa strain PA-W2 IPC1_24.1, whole genome shotgun sequence"
"NTBA01000017.1 Pseudomonas aeruginosa strain PA-W8 IPC4_17.1, whole genome shotgun sequence"
"RWZH01000022.1 Pseudomonas aeruginosa strain 43CFBRPA IPC1624_22.1, whole genome shotgun sequence"
"RWZJ01000028.1 Pseudomonas aeruginosa strain 32CFBRPA IPC1622_28.1, whole genome shotgun sequence"
"RWZK01000025.1 Pseudomonas aeruginosa strain 20CFBRPA IPC1621_25.1, whole genome shotgun sequence"
"RWZI01000040.1 Pseudomonas aeruginosa strain 33CFBRPA IPC1623_40.1, whole genome shotgun sequence"
"RWZL01000033.1 Pseudomonas aeruginosa strain SMC5451 IPC1620_33.1, whole genome shotgun sequence"
"RWZN01000019.1 Pseudomonas aeruginosa strain SMC1596 IPC1618_19.1, whole genome shotgun sequence"
"RWZM01000025.1 Pseudomonas aeruginosa strain SMC5450 IPC1619_25.1, whole genome shotgun sequence"
"RWZO01000042.1 Pseudomonas aeruginosa strain SMC1595 IPC1617_42.1, whole genome shotgun sequence"
"RWZV01000015.1 Pseudomonas aeruginosa strain OY15 IPC1434_15.1, whole genome shotgun sequence"
"RWZW01000027.1 Pseudomonas aeruginosa strain NN5 IPC1433_27.1, whole genome shotgun sequence"
"RWZQ01000028.1 Pseudomonas aeruginosa strain SMC1585 IPC1615_28.1, whole genome shotgun sequence"
"RWZT01000023.1 Pseudomonas aeruginosa strain Zw73_2 IPC1437_23.1, whole genome shotgun sequence"
"RWZP01000037.1 Pseudomonas aeruginosa strain SMC1587 IPC1616_37.1, whole genome shotgun sequence"
"RWZS01000026.1 Pseudomonas aeruginosa strain Zw75_2 IPC1438_26.1, whole genome shotgun sequence"
"RWZX01000037.1 Pseudomonas aeruginosa strain SC1 IPC1432_37.1, whole genome shotgun sequence"
"RWZY01000016.1 Pseudomonas aeruginosa strain FM4 IPC1429_16.1, whole genome shotgun sequence"
"RWZU01000031.1 Pseudomonas aeruginosa strain Zw64_2 IPC1436_31.1, whole genome shotgun sequence"
"RXAG01000032.1 Pseudomonas aeruginosa strain HCF367 IPC1415_32.1, whole genome shotgun sequence"
"RXAA01000024.1 Pseudomonas aeruginosa strain OY3 IPC1427_24.1, whole genome shotgun sequence"
"RXAB01000020.1 Pseudomonas aeruginosa strain BJ4 IPC1423_20.1, whole genome shotgun sequence"
"RXAI01000016.1 Pseudomonas aeruginosa strain HCF331 IPC1413_16.1, whole genome shotgun sequence"
"RWZZ01000029.1 Pseudomonas aeruginosa strain BJ2 IPC1428_29.1, whole genome shotgun sequence"
"RXAD01000022.1 Pseudomonas aeruginosa strain HCF591 IPC1421_22.1, whole genome shotgun sequence"
"RXAC01000028.1 Pseudomonas aeruginosa strain HCF73 IPC1422_28.1, whole genome shotgun sequence"
"RXAE01000028.1 Pseudomonas aeruginosa strain HCF5 IPC1419_28.1, whole genome shotgun sequence"
"RXAH01000043.1 Pseudomonas aeruginosa strain HCF336 IPC1414_43.1, whole genome shotgun sequence"
"RXAJ01000004.1 Pseudomonas aeruginosa strain HCF238 IPC1412_4.1, whole genome shotgun sequence"
"RXAQ01000028.1 Pseudomonas aeruginosa strain Zw5 IPC1396_28.1, whole genome shotgun sequence"
"RXAY01000016.1 Pseudomonas aeruginosa strain Zw92 IPC1380_16.1, whole genome shotgun sequence"
"RXAV01000016.1 Pseudomonas aeruginosa strain Zw64 IPC1384_16.1, whole genome shotgun sequence"
"RXAX01000022.1 Pseudomonas aeruginosa strain Zw31 IPC1381_22.1, whole genome shotgun sequence"
"RXAT01000035.1 Pseudomonas aeruginosa strain PT12 IPC1387_35.1, whole genome shotgun sequence"
"RXBC01000024.1 Pseudomonas aeruginosa strain HJ2 IPC1374_24.1, whole genome shotgun sequence"
"RXBA01000020.1 Pseudomonas aeruginosa strain SS1 IPC1376_20.1, whole genome shotgun sequence"
"RXBB01000026.1 Pseudomonas aeruginosa strain H2 IPC1375_26.1, whole genome shotgun sequence"
"RXAU01000039.1 Pseudomonas aeruginosa strain PT6 IPC1385_39.1, whole genome shotgun sequence"
"RXBE01000025.1 Pseudomonas aeruginosa strain MCF182 IPC1369_25.1, whole genome shotgun sequence"
"RXBG01000017.1 Pseudomonas aeruginosa strain MCF178 IPC1366_17.1, whole genome shotgun sequence"
"RXBI01000006.1 Pseudomonas aeruginosa strain MCF134 IPC1364_6.1, whole genome shotgun sequence"
"RXBF01000029.1 Pseudomonas aeruginosa strain MCF104 IPC1367_29.1, whole genome shotgun sequence"
"RXBD01000052.1 Pseudomonas aeruginosa strain MCF199 IPC1370_52.1, whole genome shotgun sequence"
"RXBK01000023.1 Pseudomonas aeruginosa strain MCF922 IPC1362_23.1, whole genome shotgun sequence"
"RXBL01000019.1 Pseudomonas aeruginosa strain MCF879 IPC1361_19.1, whole genome shotgun sequence"
"RXBM01000017.1 Pseudomonas aeruginosa strain MCF430 IPC1360_17.1, whole genome shotgun sequence"
"RXBT01000034.1 Pseudomonas aeruginosa strain JYH17 IPC1228_34.1, whole genome shotgun sequence"
"RXBN01000040.1 Pseudomonas aeruginosa strain MCF206 IPC1356_40.1, whole genome shotgun sequence"
"RXBQ01000036.1 Pseudomonas aeruginosa strain JYH23 IPC1234_36.1, whole genome shotgun sequence"
"RXBR01000024.1 Pseudomonas aeruginosa strain JYH21 IPC1232_24.1, whole genome shotgun sequence"
"RXBS01000026.1 Pseudomonas aeruginosa strain JYH19 IPC1230_26.1, whole genome shotgun sequence"
"RXBU01000021.1 Pseudomonas aeruginosa strain JYH15 IPC1226_21.1, whole genome shotgun sequence"
"RXBP01000036.1 Pseudomonas aeruginosa strain JYH25 IPC1236_36.1, whole genome shotgun sequence"
"RXCA01000014.1 Pseudomonas aeruginosa strain MSH3 IPC1178_14.1, whole genome shotgun sequence"
"RXBX01000023.1 Pseudomonas aeruginosa strain JYH9 IPC1220_23.1, whole genome shotgun sequence"
"RXCB01000006.1 Pseudomonas aeruginosa strain 62 IPC1175_6.1, whole genome shotgun sequence"
"RXBY01000005.1 Pseudomonas aeruginosa strain JYH7 IPC1218_5.1, whole genome shotgun sequence"
"RXCC01000023.1 Pseudomonas aeruginosa strain P1885 IPC1150_23.1, whole genome shotgun sequence"
"RXBZ01000017.1 Pseudomonas aeruginosa strain MSH10 IPC1179_17.1, whole genome shotgun sequence"
"RXCG01000025.1 Pseudomonas aeruginosa strain T4242 IPC1134_25.1, whole genome shotgun sequence"
"RXCK01000034.1 Pseudomonas aeruginosa strain U2816 IPC1115_34.1, whole genome shotgun sequence"
"RXCL01000006.1 Pseudomonas aeruginosa strain 2810 IPC1111_6.1, whole genome shotgun sequence"
"RXCN01000017.1 Pseudomonas aeruginosa strain P2733 IPC1108_17.1, whole genome shotgun sequence"
"RXCM01000020.1 Pseudomonas aeruginosa strain P2404 IPC1110_20.1, whole genome shotgun sequence"
"RXCQ01000017.1 Pseudomonas aeruginosa strain W5Aug28 IPC831_17.1, whole genome shotgun sequence"
"RXCO01000026.1 Pseudomonas aeruginosa strain T3979 IPC1106_26.1, whole genome shotgun sequence"
"RXCI01000001.1 Pseudomonas aeruginosa strain T2584 IPC1130_1.1, whole genome shotgun sequence"
"RXCP01000028.1 Pseudomonas aeruginosa strain 3141 IPC1105_28.1, whole genome shotgun sequence"
"RXCU01000021.1 Pseudomonas aeruginosa strain W15Aug23 IPC825_21.1, whole genome shotgun sequence"
"RXCR01000030.1 Pseudomonas aeruginosa strain W15Okt31 IPC829_30.1, whole genome shotgun sequence"
"RXCT01000029.1 Pseudomonas aeruginosa strain W15Dec14 IPC826_29.1, whole genome shotgun sequence"
"RXDB01000026.1 Pseudomonas aeruginosa strain Jp241 IPC755_26.1, whole genome shotgun sequence"
"RXDD01000022.1 Pseudomonas aeruginosa strain Jp100 IPC750_22.1, whole genome shotgun sequence"
"RXDC01000026.1 Pseudomonas aeruginosa strain Jp238 IPC754_26.1, whole genome shotgun sequence"
"RXDE01000026.1 Pseudomonas aeruginosa strain Jp60 IPC748_26.1, whole genome shotgun sequence"
"RXDF01000028.1 Pseudomonas aeruginosa strain AMT0047-2 IPC566_28.1, whole genome shotgun sequence"
"RXDI01000007.1 Pseudomonas aeruginosa strain AMT0046-107 IPC561_7.1, whole genome shotgun sequence"
"RXDH01000018.1 Pseudomonas aeruginosa strain AMT0046-108 IPC562_18.1, whole genome shotgun sequence"
"RXDG01000028.1 Pseudomonas aeruginosa strain AMT0047-125 IPC564_28.1, whole genome shotgun sequence"
"RXDM01000022.1 Pseudomonas aeruginosa strain AMT0006-65 IPC546_22.1, whole genome shotgun sequence"
"RXDO01000026.1 Pseudomonas aeruginosa strain AMT0005-137 IPC542_26.1, whole genome shotgun sequence"
"RXDN01000017.1 Pseudomonas aeruginosa strain AMT0006-64 IPC545_17.1, whole genome shotgun sequence"
"RXDR01000024.1 Pseudomonas aeruginosa strain AUS717 IPC532_24.1, whole genome shotgun sequence"
"RXDP01000026.1 Pseudomonas aeruginosa strain AMT0005-136 IPC541_26.1, whole genome shotgun sequence"
"RXDQ01000023.1 Pseudomonas aeruginosa strain AMT0005-135 IPC540_23.1, whole genome shotgun sequence"
"RXDT01000045.1 Pseudomonas aeruginosa strain AUS456 IPC482_45.1, whole genome shotgun sequence"
"RXDX01000019.1 Pseudomonas aeruginosa strain AUS526 IPC450_19.1, whole genome shotgun sequence"
"RXDV01000037.1 Pseudomonas aeruginosa strain AUS074 IPC479_37.1, whole genome shotgun sequence"
"RXDU01000033.1 Pseudomonas aeruginosa strain AUS455 IPC481_33.1, whole genome shotgun sequence"
"RXDW01000038.1 Pseudomonas aeruginosa strain AUS449 IPC451_38.1, whole genome shotgun sequence"
"RXDZ01000040.1 Pseudomonas aeruginosa strain AUS511 IPC448_40.1, whole genome shotgun sequence"
"RXEA01000015.1 Pseudomonas aeruginosa strain AUS510 IPC447_15.1, whole genome shotgun sequence"
"RXEE01000017.1 Pseudomonas aeruginosa strain AUS464 IPC432_17.1, whole genome shotgun sequence"
"RXEL01000022.1 Pseudomonas aeruginosa strain AUS157 IPC396_22.1, whole genome shotgun sequence"
"RXEN01000021.1 Pseudomonas aeruginosa strain AUS155 IPC394_21.1, whole genome shotgun sequence"
"RXEH01000021.1 Pseudomonas aeruginosa strain AUS176 IPC413_21.1, whole genome shotgun sequence"
"RXEJ01000022.1 Pseudomonas aeruginosa strain AUS174 IPC411_22.1, whole genome shotgun sequence"
"RXEM01000021.1 Pseudomonas aeruginosa strain AUS156 IPC395_21.1, whole genome shotgun sequence"
"RXES01000021.1 Pseudomonas aeruginosa strain AUS136 IPC377_21.1, whole genome shotgun sequence"
"RXEO01000020.1 Pseudomonas aeruginosa strain AUS153 IPC392_20.1, whole genome shotgun sequence"
"RXEP01000020.1 Pseudomonas aeruginosa strain AUS141 IPC382_20.1, whole genome shotgun sequence"
"RXER01000028.1 Pseudomonas aeruginosa strain AUS139 IPC380_28.1, whole genome shotgun sequence"
"RXET01000018.1 Pseudomonas aeruginosa strain AUS128 IPC371_18.1, whole genome shotgun sequence"
"RXEV01000029.1 Pseudomonas aeruginosa strain AUS122 IPC367_29.1, whole genome shotgun sequence"
"RXEU01000023.1 Pseudomonas aeruginosa strain AUS125 IPC369_23.1, whole genome shotgun sequence"
"RXFA01000015.1 Pseudomonas aeruginosa strain AUS277 IPC317_15.1, whole genome shotgun sequence"
"RXFD01000021.1 Pseudomonas aeruginosa strain AUS227 IPC253_21.1, whole genome shotgun sequence"
"RXFG01000022.1 Pseudomonas aeruginosa strain AUS222 IPC247_22.1, whole genome shotgun sequence"
"RXEZ01000030.1 Pseudomonas aeruginosa strain AUS527 IPC324_30.1, whole genome shotgun sequence"
"RXEY01000019.1 Pseudomonas aeruginosa strain AUS265 IPC325_19.1, whole genome shotgun sequence"
"RXFB01000030.1 Pseudomonas aeruginosa strain AUS516 IPC287_30.1, whole genome shotgun sequence"
"RXFC01000019.1 Pseudomonas aeruginosa strain AUS452 IPC270_19.1, whole genome shotgun sequence"
"RXFI01000021.1 Pseudomonas aeruginosa strain AUS221 IPC245_21.1, whole genome shotgun sequence"
"RXFK01000031.1 Pseudomonas aeruginosa strain AUS209 IPC229_31.1, whole genome shotgun sequence"
"RWKY01000046.1 Pseudomonas aeruginosa strain 22.1 IPC1605_46.1, whole genome shotgun sequence"
"RWKX01000024.1 Pseudomonas aeruginosa strain 22.2 IPC1606_24.1, whole genome shotgun sequence"
"RWKZ01000020.1 Pseudomonas aeruginosa strain 21 IPC1604_20.1, whole genome shotgun sequence"
"RWLA01000022.1 Pseudomonas aeruginosa strain 20 IPC1603_22.1, whole genome shotgun sequence"
"RWLB01000024.1 Pseudomonas aeruginosa strain 19 IPC1602_24.1, whole genome shotgun sequence"
"RWLC01000034.1 Pseudomonas aeruginosa strain 18 IPC1601_34.1, whole genome shotgun sequence"
