"MVGX01000007.1 Pseudomonas aeruginosa strain ATCC BAA-2110 IPC1578_7.1, whole genome shotgun sequence"
"RWRB01000003.1 Pseudomonas aeruginosa strain PAC81A IPC179_3.1, whole genome shotgun sequence"
"RWRE01000005.1 Pseudomonas aeruginosa strain PAC60A IPC176_5.1, whole genome shotgun sequence"
"RWRH01000005.1 Pseudomonas aeruginosa strain PAC38B IPC173_5.1, whole genome shotgun sequence"
"RWRG01000005.1 Pseudomonas aeruginosa strain PAC127A IPC174_5.1, whole genome shotgun sequence"
"RWRI01000007.1 Pseudomonas aeruginosa strain PAC38A IPC172_7.1, whole genome shotgun sequence"
"RWRM01000005.1 Pseudomonas aeruginosa strain PAC98A IPC168_5.1, whole genome shotgun sequence"
"RWSC01000005.1 Pseudomonas aeruginosa strain PAC84A IPC151_5.1, whole genome shotgun sequence"
"RWSD01000006.1 Pseudomonas aeruginosa strain PAC22A IPC150_6.1, whole genome shotgun sequence"
"RWSK01000004.1 Pseudomonas aeruginosa strain PAC56B IPC143_4.1, whole genome shotgun sequence"
"RWSL01000001.1 Pseudomonas aeruginosa strain PAC56A IPC142_1.1, whole genome shotgun sequence"
"RWSM01000003.1 Pseudomonas aeruginosa strain PAC17A IPC141_3.1, whole genome shotgun sequence"
"RWSQ01000006.1 Pseudomonas aeruginosa strain PAC117B IPC135_6.1, whole genome shotgun sequence"
"RWSS01000005.1 Pseudomonas aeruginosa strain PAC13C IPC133_5.1, whole genome shotgun sequence"
"RWSX01000005.1 Pseudomonas aeruginosa strain PAC79A IPC128_5.1, whole genome shotgun sequence"
"RWSW01000003.1 Pseudomonas aeruginosa strain PAC79B IPC129_3.1, whole genome shotgun sequence"
"RWSV01000003.1 Pseudomonas aeruginosa strain PAC106A IPC130_3.1, whole genome shotgun sequence"
"RWSY01000006.1 Pseudomonas aeruginosa strain PAC11A IPC127_6.1, whole genome shotgun sequence"
"RWTC01000001.1 Pseudomonas aeruginosa strain PAC9A IPC123_1.1, whole genome shotgun sequence"
"RWTK01000014.1 Pseudomonas aeruginosa strain PAC61A IPC115_14.1, whole genome shotgun sequence"
"RWTM01000013.1 Pseudomonas aeruginosa strain PAC5B IPC113_13.1, whole genome shotgun sequence"
"RWTL01000015.1 Pseudomonas aeruginosa strain PAC46A IPC114_15.1, whole genome shotgun sequence"
"RWTN01000018.1 Pseudomonas aeruginosa strain PAC5A IPC112_18.1, whole genome shotgun sequence"
"RWTR01000021.1 Pseudomonas aeruginosa strain 326S290611BSL_PA2 IPC76_21.1, whole genome shotgun sequence"
"RWTP01000004.1 Pseudomonas aeruginosa strain 333S200112BSL_PA1 IPC78_4.1, whole genome shotgun sequence"
"RWTQ01000051.1 Pseudomonas aeruginosa strain 326S290611BSL_PA3 IPC77_51.1, whole genome shotgun sequence"
"RWTS01000001.1 Pseudomonas aeruginosa strain 326S290611BSL_PA1 IPC75_1.1, whole genome shotgun sequence"
"RWTU01000004.1 Pseudomonas aeruginosa strain 320S290711BSL_PA1 IPC73_4.1, whole genome shotgun sequence"
"RWTV01000005.1 Pseudomonas aeruginosa strain 318S170811BSL_PA2 IPC72_5.1, whole genome shotgun sequence"
"RWTT01000001.1 Pseudomonas aeruginosa strain 320S290711BSL_PA2 IPC74_1.1, whole genome shotgun sequence"
"RWTW01000005.1 Pseudomonas aeruginosa strain 318S170811BSL_PA1 IPC71_5.1, whole genome shotgun sequence"
"RWUD01000006.1 Pseudomonas aeruginosa strain 286S270711BSL_PA1 IPC61_6.1, whole genome shotgun sequence"
"RWUM01000015.1 Pseudomonas aeruginosa strain 201s070911bsl_PA1 IPC50_15.1, whole genome shotgun sequence"
"RWUL01000003.1 Pseudomonas aeruginosa strain 201s070911bsl_PA2 IPC51_3.1, whole genome shotgun sequence"
"RWUN01000006.1 Pseudomonas aeruginosa strain 197S020911BSL_PA4 IPC49_6.1, whole genome shotgun sequence"
"RWUP01000002.1 Pseudomonas aeruginosa strain 197S020911BSL_PA2 IPC47_2.1, whole genome shotgun sequence"
"RWUQ01000003.1 Pseudomonas aeruginosa strain 197S020911BSL_PA1 IPC46_3.1, whole genome shotgun sequence"
"RWUV01000005.1 Pseudomonas aeruginosa strain 175S070312EX2DAY21_PA1 IPC41_5.1, whole genome shotgun sequence"
"RWUX01000007.1 Pseudomonas aeruginosa strain 144S190811BSL_PA2 IPC38_7.1, whole genome shotgun sequence"
"RWVA01000004.1 Pseudomonas aeruginosa strain 136S260811BSL_PA2 IPC35_4.1, whole genome shotgun sequence"
"RWUY01000004.1 Pseudomonas aeruginosa strain 144S190811BSL_PA1 IPC37_4.1, whole genome shotgun sequence"
"RWVB01000005.1 Pseudomonas aeruginosa strain 136S260811BSL_PA1 IPC34_5.1, whole genome shotgun sequence"
"RWUZ01000001.1 Pseudomonas aeruginosa strain 136S260811BSL_PA3 IPC36_1.1, whole genome shotgun sequence"
"RWVJ01000017.1 Pseudomonas aeruginosa strain 4094345290 IPC1482_16.1, whole genome shotgun sequence"
"RWPJ01000004.1 Pseudomonas aeruginosa strain PA-CL534x IPC627_4.1, whole genome shotgun sequence"
"RWUU01000007.1 Pseudomonas aeruginosa strain 175S070312EX2DAY21_PA2 IPC42_7.1, whole genome shotgun sequence"
"NSUR01000004.1 Pseudomonas aeruginosa strain A237 IPC696_4.1, whole genome shotgun sequence"
"MVHB01000006.1 Pseudomonas aeruginosa strain ATCC BAA-2114 IPC1582_6.1, whole genome shotgun sequence"
"MCMC01000004.1 Pseudomonas aeruginosa strain EA0A isolate 39177 IPC1270_4.1, whole genome shotgun sequence"
"MCMD01000007.1 Pseudomonas aeruginosa strain 239A isolate 13121-1 IPC1269_7.1, whole genome shotgun sequence"
"MCMQ01000006.1 Pseudomonas aeruginosa strain FA0A isolate Pr335 IPC93_6.1, whole genome shotgun sequence"
"MCMS01000004.1 Pseudomonas aeruginosa strain 3C1A isolate Jpn1563 IPC91_4.1, whole genome shotgun sequence"
"MCMY01000006.1 Pseudomonas aeruginosa strain 55AA isolate PAK IPC83_6.1, whole genome shotgun sequence"
"NSMR01000004.1 Pseudomonas aeruginosa strain E2-DN-2 IPC1470_4.1, whole genome shotgun sequence"
"NSMS01000007.1 Pseudomonas aeruginosa strain E1-WATER-2 IPC1469_7.1, whole genome shotgun sequence"
"NSMX01000008.1 Pseudomonas aeruginosa strain PA-W45 IPC1302_8.1, whole genome shotgun sequence"
"NSNB01000002.1 Pseudomonas aeruginosa strain PA-W39 IPC1298_2.1, whole genome shotgun sequence"
"NSNA01000010.1 Pseudomonas aeruginosa strain PA-W42 IPC1299_10.1, whole genome shotgun sequence"
"NSNC01000006.1 Pseudomonas aeruginosa strain PA-W38 IPC1297_6.1, whole genome shotgun sequence"
"NSNF01000005.1 Pseudomonas aeruginosa strain PA-W33 IPC1294_5.1, whole genome shotgun sequence"
"NSNH01000004.1 Pseudomonas aeruginosa strain PA-W31 IPC1292_4.1, whole genome shotgun sequence"
"NSNN01000007.1 Pseudomonas aeruginosa strain PA-W16 IPC1286_7.1, whole genome shotgun sequence"
"NSNQ01000005.1 Pseudomonas aeruginosa strain PA-W5 IPC1283_5.1, whole genome shotgun sequence"
"NSNS01000005.1 Pseudomonas aeruginosa strain PA-W3 IPC1281_5.1, whole genome shotgun sequence"
"NSOH01000003.1 Pseudomonas aeruginosa strain JYH16 IPC1227_3.1, whole genome shotgun sequence"
"NSOK01000005.1 Pseudomonas aeruginosa strain JYH10 IPC1221_5.1, whole genome shotgun sequence"
"NSOY01000033.1 Pseudomonas aeruginosa strain HM324 IPC1163_33.1, whole genome shotgun sequence"
"NSPA01000061.1 Pseudomonas aeruginosa strain HM307 IPC1161_61.1, whole genome shotgun sequence"
"NSPC01000006.1 Pseudomonas aeruginosa strain HM301 IPC1159_6.1, whole genome shotgun sequence"
"NSPD01000006.1 Pseudomonas aeruginosa strain HM300 IPC1158_6.1, whole genome shotgun sequence"
"NSPG01000005.1 Pseudomonas aeruginosa strain HM293 IPC1155_5.1, whole genome shotgun sequence"
"NSPF01000017.1 Pseudomonas aeruginosa strain HM294 IPC1156_17.1, whole genome shotgun sequence"
"NSPB01000005.1 Pseudomonas aeruginosa strain HM306 IPC1160_5.1, whole genome shotgun sequence"
"NSPE01000005.1 Pseudomonas aeruginosa strain HM299 IPC1157_5.1, whole genome shotgun sequence"
"NSQO01000011.1 Pseudomonas aeruginosa strain D1 IPC1045_11.1, whole genome shotgun sequence"
"NSQR01000004.1 Pseudomonas aeruginosa strain A3 IPC1038_4.1, whole genome shotgun sequence"
"NSQU01000010.1 Pseudomonas aeruginosa strain 020MIC IPC1033_10.1, whole genome shotgun sequence"
"NSQY01000001.1 Pseudomonas aeruginosa strain DUN-013 IPC1018_1.1, whole genome shotgun sequence"
"NSRA01000005.1 Pseudomonas aeruginosa strain DUN-009B IPC1014_5.1, whole genome shotgun sequence"
"NSRB01000006.1 Pseudomonas aeruginosa strain DUN-008 IPC1008_6.1, whole genome shotgun sequence"
"NSSG01000005.1 Pseudomonas aeruginosa strain S1983 IPC908_5.1, whole genome shotgun sequence"
"NSSI01000005.1 Pseudomonas aeruginosa strain S2820 IPC905_5.1, whole genome shotgun sequence"
"NSSK01000003.1 Pseudomonas aeruginosa strain S2239_15 IPC902_3.1, whole genome shotgun sequence"
"NSSN01000004.1 Pseudomonas aeruginosa strain Pae110 IPC886_4.1, whole genome shotgun sequence"
"NSSY01000042.1 Pseudomonas aeruginosa strain Aa249 IPC858_42.1, whole genome shotgun sequence"
"NSTG01000004.1 Pseudomonas aeruginosa strain LiA18_2003 IPC786_4.1, whole genome shotgun sequence"
"NSTQ01000005.1 Pseudomonas aeruginosa strain Jp54 IPC747_5.1, whole genome shotgun sequence"
"NSTS01000027.1 Pseudomonas aeruginosa strain J9UH1F IPC742_27.1, whole genome shotgun sequence"
"NSUA01000007.1 Pseudomonas aeruginosa strain CPHL5083 IPC730_7.1, whole genome shotgun sequence"
"NSUB01000007.1 Pseudomonas aeruginosa strain CPHL2000 IPC729_7.1, whole genome shotgun sequence"
"NSUU01000004.1 Pseudomonas aeruginosa strain A17 IPC693_4.1, whole genome shotgun sequence"
"NSUY01000004.1 Pseudomonas aeruginosa strain A10 IPC689_4.1, whole genome shotgun sequence"
"NSVL01000001.1 Pseudomonas aeruginosa strain AMT0046-109 IPC563_1.1, whole genome shotgun sequence"
"NSWN01000006.1 Pseudomonas aeruginosa strain AUS050 IPC470_6.1, whole genome shotgun sequence"
"NSWO01000007.1 Pseudomonas aeruginosa strain AUS537 IPC468_7.1, whole genome shotgun sequence"
"NSWU01000004.1 Pseudomonas aeruginosa strain AUS507 IPC446_4.1, whole genome shotgun sequence"
"NSWY01000020.1 Pseudomonas aeruginosa strain AUS489 IPC438_20.1, whole genome shotgun sequence"
"NSXM01000005.1 Pseudomonas aeruginosa strain AUS120 IPC365_5.1, whole genome shotgun sequence"
"NSXO01000009.1 Pseudomonas aeruginosa strain AUS111 IPC358_9.1, whole genome shotgun sequence"
"NSXS01000001.1 Pseudomonas aeruginosa strain AUS093 IPC352_1.1, whole genome shotgun sequence"
"NSYR01000001.1 Pseudomonas aeruginosa strain AUS301 IPC279_1.1, whole genome shotgun sequence"
"NSYV01000004.1 Pseudomonas aeruginosa strain AUS088 IPC273_4.1, whole genome shotgun sequence"
"NSZB01000008.1 Pseudomonas aeruginosa strain AUS229 IPC255_8.1, whole genome shotgun sequence"
"NSZL01000006.1 Pseudomonas aeruginosa strain AUS195 IPC215_6.1, whole genome shotgun sequence"
"NSZF01000003.1 Pseudomonas aeruginosa strain AUS213 IPC234_3.1, whole genome shotgun sequence"
"NSZE01000005.1 Pseudomonas aeruginosa strain AUS502 IPC239_5.1, whole genome shotgun sequence"
"NSZM01000006.1 Pseudomonas aeruginosa strain AUS518 IPC212_6.1, whole genome shotgun sequence"
"NSZR01000016.1 Pseudomonas aeruginosa strain 39145 IPC109_16.1, whole genome shotgun sequence"
"NSZS01000003.1 Pseudomonas aeruginosa strain 934436V IPC108_3.1, whole genome shotgun sequence"
"NSZT01000006.1 Pseudomonas aeruginosa strain AT40 IPC107_6.1, whole genome shotgun sequence"
"NSZW01000007.1 Pseudomonas aeruginosa strain AT7 IPC104_7.1, whole genome shotgun sequence"
"NSZU01000004.1 Pseudomonas aeruginosa strain AT31 IPC106_4.1, whole genome shotgun sequence"
"NSZZ01000022.1 Pseudomonas aeruginosa strain 994 IPC101_22.1, whole genome shotgun sequence"
"NSZV01000004.1 Pseudomonas aeruginosa strain AT19 IPC105_4.1, whole genome shotgun sequence"
"NTAA01000020.1 Pseudomonas aeruginosa strain 1090 IPC100_20.1, whole genome shotgun sequence"
"NTAJ01000015.1 Pseudomonas aeruginosa strain PA-W41 IPC22_15.1, whole genome shotgun sequence"
"NTAP01000005.1 Pseudomonas aeruginosa strain PA-W25 IPC15_5.1, whole genome shotgun sequence"
"NTAT01000004.1 Pseudomonas aeruginosa strain PA-W18 IPC11_4.1, whole genome shotgun sequence"
"NTBD01000003.1 Pseudomonas aeruginosa strain PA-W2 IPC1_3.1, whole genome shotgun sequence"
"RWZH01000001.1 Pseudomonas aeruginosa strain 43CFBRPA IPC1624_1.1, whole genome shotgun sequence"
"RWZK01000001.1 Pseudomonas aeruginosa strain 20CFBRPA IPC1621_1.1, whole genome shotgun sequence"
"RWZQ01000005.1 Pseudomonas aeruginosa strain SMC1585 IPC1615_5.1, whole genome shotgun sequence"
"RWZP01000007.1 Pseudomonas aeruginosa strain SMC1587 IPC1616_7.1, whole genome shotgun sequence"
"RXAD01000004.1 Pseudomonas aeruginosa strain HCF591 IPC1421_4.1, whole genome shotgun sequence"
"RXAC01000001.1 Pseudomonas aeruginosa strain HCF73 IPC1422_1.1, whole genome shotgun sequence"
"RXAE01000004.1 Pseudomonas aeruginosa strain HCF5 IPC1419_4.1, whole genome shotgun sequence"
"RXAP01000004.1 Pseudomonas aeruginosa strain Zw70 IPC1399_4.1, whole genome shotgun sequence"
"RXAR01000018.1 Pseudomonas aeruginosa strain Zw115 IPC1390_18.1, whole genome shotgun sequence"
"RXAK01000003.1 Pseudomonas aeruginosa strain HCF100 IPC1409_3.1, whole genome shotgun sequence"
"RXBC01000003.1 Pseudomonas aeruginosa strain HJ2 IPC1374_3.1, whole genome shotgun sequence"
"RXBG01000006.1 Pseudomonas aeruginosa strain MCF178 IPC1366_6.1, whole genome shotgun sequence"
"RXBL01000013.1 Pseudomonas aeruginosa strain MCF879 IPC1361_13.1, whole genome shotgun sequence"
"RXCB01000004.1 Pseudomonas aeruginosa strain 62 IPC1175_4.1, whole genome shotgun sequence"
"RXBX01000005.1 Pseudomonas aeruginosa strain JYH9 IPC1220_5.1, whole genome shotgun sequence"
"RXCF01000015.1 Pseudomonas aeruginosa strain T3354 IPC1135_15.1, whole genome shotgun sequence"
"RXCT01000004.1 Pseudomonas aeruginosa strain W15Dec14 IPC826_4.1, whole genome shotgun sequence"
"RXDB01000003.1 Pseudomonas aeruginosa strain Jp241 IPC755_3.1, whole genome shotgun sequence"
"RXDC01000005.1 Pseudomonas aeruginosa strain Jp238 IPC754_5.1, whole genome shotgun sequence"
"RXDF01000027.1 Pseudomonas aeruginosa strain AMT0047-2 IPC566_27.1, whole genome shotgun sequence"
"RXDE01000005.1 Pseudomonas aeruginosa strain Jp60 IPC748_5.1, whole genome shotgun sequence"
"RXEE01000008.1 Pseudomonas aeruginosa strain AUS464 IPC432_8.1, whole genome shotgun sequence"
"RXEK01000002.1 Pseudomonas aeruginosa strain AUS158 IPC397_2.1, whole genome shotgun sequence"
"RXEI01000006.1 Pseudomonas aeruginosa strain AUS175 IPC412_6.1, whole genome shotgun sequence"
"RXEW01000005.1 Pseudomonas aeruginosa strain AUS110 IPC357_5.1, whole genome shotgun sequence"
"RXEY01000002.1 Pseudomonas aeruginosa strain AUS265 IPC325_2.1, whole genome shotgun sequence"
"RXFF01000005.1 Pseudomonas aeruginosa strain AUS258 IPC249_5.1, whole genome shotgun sequence"
"RWLT01000006.1 Pseudomonas aeruginosa strain 2.1 IPC1584_6.1, whole genome shotgun sequence"
"RWLV01000007.1 Pseudomonas aeruginosa strain 3052425557 IPC1523_7.1, whole genome shotgun sequence"
"RWMU01000004.1 Pseudomonas aeruginosa strain 2032935751 IPC1498_4.1, whole genome shotgun sequence"
"RWMW01000017.1 Pseudomonas aeruginosa strain 4094341901 IPC1495_17.1, whole genome shotgun sequence"
"RWMY01000008.1 Pseudomonas aeruginosa strain 3052425557 IPC1492_8.1, whole genome shotgun sequence"
"RWNB01000007.1 Pseudomonas aeruginosa strain 5054408350-20 IPC1489_7.1, whole genome shotgun sequence"
"RWNP01000005.1 Pseudomonas aeruginosa strain 6098 IPC1347_5.1, whole genome shotgun sequence"
"RWNO01000016.1 Pseudomonas aeruginosa strain 6099 IPC1348_16.1, whole genome shotgun sequence"
"RWNQ01000005.1 Pseudomonas aeruginosa strain 6097.3 IPC1346_5.1, whole genome shotgun sequence"
"RWNR01000005.1 Pseudomonas aeruginosa strain 6097.1 IPC1345_5.1, whole genome shotgun sequence"
"RWNX01000004.1 Pseudomonas aeruginosa strain 6091 IPC1338_4.1, whole genome shotgun sequence"
"RWNY01000011.1 Pseudomonas aeruginosa strain 6090 IPC1337_11.1, whole genome shotgun sequence"
"RWOD01000005.1 Pseudomonas aeruginosa strain 6086.1 IPC1332_5.1, whole genome shotgun sequence"
"RWOF01000003.1 Pseudomonas aeruginosa strain 6004 IPC1330_3.1, whole genome shotgun sequence"
"RWOE01000006.1 Pseudomonas aeruginosa strain 6085 IPC1331_6.1, whole genome shotgun sequence"
"RWOQ01000003.1 Pseudomonas aeruginosa strain 5996 IPC1319_3.1, whole genome shotgun sequence"
"RWOT01000004.1 Pseudomonas aeruginosa strain 5993 IPC1316_4.1, whole genome shotgun sequence"
"RWPC01000004.1 Pseudomonas aeruginosa strain 5987 IPC1307_4.1, whole genome shotgun sequence"
"RWRF01000007.1 Pseudomonas aeruginosa strain PAC127B IPC175_7.1, whole genome shotgun sequence"
"RWRT01000007.1 Pseudomonas aeruginosa strain PAC118A IPC161_7.1, whole genome shotgun sequence"
"RWSP01000004.1 Pseudomonas aeruginosa strain PAC14B IPC137_4.1, whole genome shotgun sequence"
"RWTD01000007.1 Pseudomonas aeruginosa strain PAC93C IPC122_7.1, whole genome shotgun sequence"
"RWTE01000008.1 Pseudomonas aeruginosa strain PAC93B IPC121_8.1, whole genome shotgun sequence"
"RWTG01000004.1 Pseudomonas aeruginosa strain PAC74A IPC119_4.1, whole genome shotgun sequence"
"RWTF01000002.1 Pseudomonas aeruginosa strain PAC93A IPC120_2.1, whole genome shotgun sequence"
"RWTI01000007.1 Pseudomonas aeruginosa strain PAC6B IPC117_7.1, whole genome shotgun sequence"
"RWTJ01000008.1 Pseudomonas aeruginosa strain PAC6A IPC116_8.1, whole genome shotgun sequence"
"RWTH01000003.1 Pseudomonas aeruginosa strain PAC39A IPC118_3.1, whole genome shotgun sequence"
"RWUI01000006.1 Pseudomonas aeruginosa strain 266S141211BSL_PA1 IPC56_6.1, whole genome shotgun sequence"
"RWUR01000004.1 Pseudomonas aeruginosa strain 192S190811BSL_PA3 IPC45_4.1, whole genome shotgun sequence"
"RWUS01000013.1 Pseudomonas aeruginosa strain 192S190811BSL_PA2 IPC44_13.1, whole genome shotgun sequence"
"RWUT01000001.1 Pseudomonas aeruginosa strain 192S190811BSL_PA1 IPC43_1.1, whole genome shotgun sequence"
"RWUW01000007.1 Pseudomonas aeruginosa strain 145S200511BSL_PA2 IPC40_7.1, whole genome shotgun sequence"
"RWVD01000005.1 Pseudomonas aeruginosa strain 66S100212BSL _PA1 IPC32_5.1, whole genome shotgun sequence"
"RWVG01000003.1 Pseudomonas aeruginosa strain 37s051011BSL_PA1 IPC29_3.1, whole genome shotgun sequence"
"RXDV01000007.1 Pseudomonas aeruginosa strain AUS074 IPC479_7.1, whole genome shotgun sequence"
"NSOZ01000029.1 Pseudomonas aeruginosa strain HM308 IPC1162_29.1, whole genome shotgun sequence"
"NSTE01000026.1 Pseudomonas aeruginosa strain LiA63_2006 IPC790_26.1, whole genome shotgun sequence"
"NSUJ01000061.1 Pseudomonas aeruginosa strain 5BR2 IPC713_61.1, whole genome shotgun sequence"
"MVGW01000003.1 Pseudomonas aeruginosa strain ATCC BAA-2109 IPC1577_3.1, whole genome shotgun sequence"
"MCLZ01000004.1 Pseudomonas aeruginosa strain 3C52 isolate TBCF10839 IPC1273_4.1, whole genome shotgun sequence"
"MCMA01000009.1 Pseudomonas aeruginosa strain F429 isolate A5803 IPC1272_9.1, whole genome shotgun sequence"
"MCMP01000008.1 Pseudomonas aeruginosa strain 2A42 isolate U018A IPC94_8.1, whole genome shotgun sequence"
"MCMU01000004.1 Pseudomonas aeruginosa strain 0C4A isolate 679 IPC87_4.1, whole genome shotgun sequence"
"MCMW01000005.1 Pseudomonas aeruginosa strain F69A isolate IST27N IPC85_5.1, whole genome shotgun sequence"
"MCMV01000004.1 Pseudomonas aeruginosa strain 3C52(K) isolate 968333S IPC86_4.1, whole genome shotgun sequence"
"MCMX01000005.1 Pseudomonas aeruginosa strain F69A isolate IST27 IPC84_5.1, whole genome shotgun sequence"
"MCMZ01000003.1 Pseudomonas aeruginosa strain 6D92(H) isolate AMT0060-3 IPC82_3.1, whole genome shotgun sequence"
"MCNA01000005.1 Pseudomonas aeruginosa strain 6D92(H) isolate AMT0060-2 IPC81_5.1, whole genome shotgun sequence"
"MCNB01000003.1 Pseudomonas aeruginosa strain 6D92(H) isolate AMT0060-1 IPC80_3.1, whole genome shotgun sequence"
"NSMP01000008.1 Pseudomonas aeruginosa strain G1-WATER-2A IPC1472_8.1, whole genome shotgun sequence"
"NSNL01000002.1 Pseudomonas aeruginosa strain PA-W23 IPC1288_2.1, whole genome shotgun sequence"
"NSNJ01000005.1 Pseudomonas aeruginosa strain PA-W28 IPC1290_5.1, whole genome shotgun sequence"
"NSNM01000004.1 Pseudomonas aeruginosa strain PA-W21 IPC1287_4.1, whole genome shotgun sequence"
"NSNO01000015.1 Pseudomonas aeruginosa strain PA-W14 IPC1285_15.1, whole genome shotgun sequence"
"NSNR01000008.1 Pseudomonas aeruginosa strain PA-W4 IPC1282_8.1, whole genome shotgun sequence"
"NSNW01000008.1 Pseudomonas aeruginosa strain 36BR IPC1246_8.1, whole genome shotgun sequence"
"NSOB01000006.1 Pseudomonas aeruginosa strain 175BR IPC1241_6.1, whole genome shotgun sequence"
"NSNX01000005.1 Pseudomonas aeruginosa strain 21BR IPC1245_5.1, whole genome shotgun sequence"
"NSNZ01000006.1 Pseudomonas aeruginosa strain 205BR IPC1243_6.1, whole genome shotgun sequence"
"NSNY01000006.1 Pseudomonas aeruginosa strain 172BR IPC1244_6.1, whole genome shotgun sequence"
"NSOA01000006.1 Pseudomonas aeruginosa strain 211BR IPC1242_6.1, whole genome shotgun sequence"
"NSOM01000005.1 Pseudomonas aeruginosa strain JYH6 IPC1217_5.1, whole genome shotgun sequence"
"NSON01000029.1 Pseudomonas aeruginosa strain HB392 IPC1191_29.1, whole genome shotgun sequence"
"NSOP01000001.1 Pseudomonas aeruginosa strain X24509 IPC1184_1.1, whole genome shotgun sequence"
"NSOO01000030.1 Pseudomonas aeruginosa strain HB159 IPC1190_30.1, whole genome shotgun sequence"
"NSQC01000001.1 Pseudomonas aeruginosa strain LiP4 IPC1075_1.1, whole genome shotgun sequence"
"NSQK01000017.1 Pseudomonas aeruginosa strain H3 IPC1060_17.1, whole genome shotgun sequence"
"NSQM01000003.1 Pseudomonas aeruginosa strain F2 IPC1053_3.1, whole genome shotgun sequence"
"NSQS01000026.1 Pseudomonas aeruginosa strain DUN-001A IPC1035_26.1, whole genome shotgun sequence"
"NSRH01000023.1 Pseudomonas aeruginosa strain 001-6 IPC988_23.1, whole genome shotgun sequence"
"NSRL01000006.1 Pseudomonas aeruginosa strain DUN-001-3B IPC984_6.1, whole genome shotgun sequence"
"NSRI01000005.1 Pseudomonas aeruginosa strain 001-5B IPC987_5.1, whole genome shotgun sequence"
"NSRK01000022.1 Pseudomonas aeruginosa strain DUN-001-4 IPC985_22.1, whole genome shotgun sequence"
"NSRJ01000005.1 Pseudomonas aeruginosa strain 001-5A IPC986_5.1, whole genome shotgun sequence"
"NSRN01000006.1 Pseudomonas aeruginosa strain DUN-001-2B IPC982_6.1, whole genome shotgun sequence"
"NSRM01000005.1 Pseudomonas aeruginosa strain DUN-001-3A IPC983_5.1, whole genome shotgun sequence"
"NSRO01000005.1 Pseudomonas aeruginosa strain DUN-001-2A IPC981_5.1, whole genome shotgun sequence"
"NSRP01000004.1 Pseudomonas aeruginosa strain DUN-001C IPC980_4.1, whole genome shotgun sequence"
"NSRQ01000005.1 Pseudomonas aeruginosa strain DUN-001B IPC979_5.1, whole genome shotgun sequence"
"NSSF01000006.1 Pseudomonas aeruginosa strain MSB3405 IPC914_6.1, whole genome shotgun sequence"
"NSSJ01000005.1 Pseudomonas aeruginosa strain S2239_16 IPC903_5.1, whole genome shotgun sequence"
"NSSH01000006.1 Pseudomonas aeruginosa strain MSB2949 IPC907_6.1, whole genome shotgun sequence"
"NSTY01000036.1 Pseudomonas aeruginosa strain CPHL8058 IPC733_36.1, whole genome shotgun sequence"
"NSUC01000006.1 Pseudomonas aeruginosa strain CPHL1999 IPC728_6.1, whole genome shotgun sequence"
"NSUH01000046.1 Pseudomonas aeruginosa strain Co380791 IPC718_46.1, whole genome shotgun sequence"
"NSUK01000003.1 Pseudomonas aeruginosa strain ESP06B IPC710_3.1, whole genome shotgun sequence"
"NSUP01000002.1 Pseudomonas aeruginosa strain SWPA15J=NSWPA15a IPC699_2.1, whole genome shotgun sequence"
"NSVA01000033.1 Pseudomonas aeruginosa strain So098 IPC677_33.1, whole genome shotgun sequence"
"NSVB01000002.1 Pseudomonas aeruginosa strain PN586(35)w IPC669_2.1, whole genome shotgun sequence"
"NSVE01000002.1 Pseudomonas aeruginosa strain HPA16 IPC651_2.1, whole genome shotgun sequence"
"NSVD01000002.1 Pseudomonas aeruginosa strain Co398373 IPC664_2.1, whole genome shotgun sequence"
"NSVF01000003.1 Pseudomonas aeruginosa strain HPA12 IPC648_3.1, whole genome shotgun sequence"
"NSVH01000002.1 Pseudomonas aeruginosa strain HPA6 IPC642_2.1, whole genome shotgun sequence"
"NSVG01000003.1 Pseudomonas aeruginosa strain HPA8 IPC644_3.1, whole genome shotgun sequence"
"NSVQ01000010.1 Pseudomonas aeruginosa strain AMT0020-84 IPC549_10.1, whole genome shotgun sequence"
"NSVU01000021.1 Pseudomonas aeruginosa strain AMT0005-1 IPC539_21.1, whole genome shotgun sequence"
"NSWV01000003.1 Pseudomonas aeruginosa strain AUS499 IPC442_3.1, whole genome shotgun sequence"
"NSWW01000004.1 Pseudomonas aeruginosa strain AUS496 IPC441_4.1, whole genome shotgun sequence"
"NSWZ01000008.1 Pseudomonas aeruginosa strain AUS485 IPC436_8.1, whole genome shotgun sequence"
"NSXG01000020.1 Pseudomonas aeruginosa strain AUS150 IPC390_20.1, whole genome shotgun sequence"
"NSXN01000018.1 Pseudomonas aeruginosa strain AUS119 IPC364_18.1, whole genome shotgun sequence"
"NSYH01000037.1 Pseudomonas aeruginosa strain AUS058 IPC306_37.1, whole genome shotgun sequence"
"NSYI01000004.1 Pseudomonas aeruginosa strain AUS327 IPC300_4.1, whole genome shotgun sequence"
"NSYM01000005.1 Pseudomonas aeruginosa strain AUS339 IPC292_5.1, whole genome shotgun sequence"
"NSYK01000003.1 Pseudomonas aeruginosa strain AUS328 IPC295_3.1, whole genome shotgun sequence"
"NSYP01000014.1 Pseudomonas aeruginosa strain AUS471 IPC282_14.1, whole genome shotgun sequence"
