"NSTY01000016.1 Pseudomonas aeruginosa strain CPHL8058 IPC733_16.1, whole genome shotgun sequence"
"NSZX01000004.1 Pseudomonas aeruginosa strain 152504sp2 IPC103_4.1, whole genome shotgun sequence"
"RXAL01000003.1 Pseudomonas aeruginosa strain HCF86 IPC1408_3.1, whole genome shotgun sequence"
"RXAS01000002.1 Pseudomonas aeruginosa strain Zw9 IPC1389_2.1, whole genome shotgun sequence"
"RXBG01000002.1 Pseudomonas aeruginosa strain MCF178 IPC1366_2.1, whole genome shotgun sequence"
"RXCA01000003.1 Pseudomonas aeruginosa strain MSH3 IPC1178_3.1, whole genome shotgun sequence"
"RXBZ01000002.1 Pseudomonas aeruginosa strain MSH10 IPC1179_2.1, whole genome shotgun sequence"
"RXCE01000015.1 Pseudomonas aeruginosa strain T3677 IPC1136_15.1, whole genome shotgun sequence"
"RWNS01000012.1 Pseudomonas aeruginosa strain 6096 IPC1343_12.1, whole genome shotgun sequence"
"RWUO01000005.1 Pseudomonas aeruginosa strain 197S020911BSL_PA3 IPC48_5.1, whole genome shotgun sequence"
"MCMO01000005.1 Pseudomonas aeruginosa strain F462 isolate CPHL9433 IPC95_5.1, whole genome shotgun sequence"
"RXDW01000006.1 Pseudomonas aeruginosa strain AUS449 IPC451_6.1, whole genome shotgun sequence"
"NTAW01000001.1 Pseudomonas aeruginosa strain PA-W13 IPC8_1.1, whole genome shotgun sequence"
"RXDZ01000020.1 Pseudomonas aeruginosa strain AUS511 IPC448_20.1, whole genome shotgun sequence"
"RXFI01000002.1 Pseudomonas aeruginosa strain AUS221 IPC245_2.1, whole genome shotgun sequence"
"NSTK01000006.1 Pseudomonas aeruginosa strain LiA133_2003 IPC776_6.1, whole genome shotgun sequence"
"NSUE01000006.1 Pseudomonas aeruginosa strain IDEXX_Canine8 IPC725_6.1, whole genome shotgun sequence"
"NSUV01000001.1 Pseudomonas aeruginosa strain A15 IPC692_1.1, whole genome shotgun sequence"
"NSUZ01000001.1 Pseudomonas aeruginosa strain A9 IPC688_1.1, whole genome shotgun sequence"
"RXBV01000002.1 Pseudomonas aeruginosa strain JYH13 IPC1224_2.1, whole genome shotgun sequence"
"NSNT01000002.1 Pseudomonas aeruginosa strain PA-W1 IPC1280_2.1, whole genome shotgun sequence"
"NSPH01000001.1 Pseudomonas aeruginosa strain E9(4068) IPC1152_1.1, whole genome shotgun sequence"
"NSQX01000002.1 Pseudomonas aeruginosa strain 014-2A IPC1020_2.1, whole genome shotgun sequence"
"NSRE01000016.1 Pseudomonas aeruginosa strain DUN-004 IPC1001_16.1, whole genome shotgun sequence"
"NSSP01000003.1 Pseudomonas aeruginosa strain Tu863 IPC884_3.1, whole genome shotgun sequence"
"NSZA01000002.1 Pseudomonas aeruginosa strain AUS232 IPC258_2.1, whole genome shotgun sequence"
"RWZR01000006.1 Pseudomonas aeruginosa strain Zw73_1 IPC1439_6.1, whole genome shotgun sequence"
"RWZX01000008.1 Pseudomonas aeruginosa strain SC1 IPC1432_8.1, whole genome shotgun sequence"
"RXCC01000004.1 Pseudomonas aeruginosa strain P1885 IPC1150_4.1, whole genome shotgun sequence"
"RXFE01000003.1 Pseudomonas aeruginosa strain AUS226 IPC252_3.1, whole genome shotgun sequence"
"RWLN01000003.1 Pseudomonas aeruginosa strain 8 IPC1590_3.1, whole genome shotgun sequence"
"RXBT01000001.1 Pseudomonas aeruginosa strain JYH17 IPC1228_1.1, whole genome shotgun sequence"
"NTAD01000008.1 Pseudomonas aeruginosa strain 856 IPC97_8.1, whole genome shotgun sequence"
"NSST01000001.1 Pseudomonas aeruginosa strain LMG5031 IPC878_1.1, whole genome shotgun sequence"
"NSXA01000004.1 Pseudomonas aeruginosa strain AUS483 IPC434_4.1, whole genome shotgun sequence"
"NSZD01000002.1 Pseudomonas aeruginosa strain AUS217 IPC241_2.1, whole genome shotgun sequence"
"RWZO01000020.1 Pseudomonas aeruginosa strain SMC1595 IPC1617_20.1, whole genome shotgun sequence"
"RWZO01000027.1 Pseudomonas aeruginosa strain SMC1595 IPC1617_27.1, whole genome shotgun sequence"
