"NSSG01000028.1 Pseudomonas aeruginosa strain S1983 IPC908_28.1, whole genome shotgun sequence"
"RXBE01000013.1 Pseudomonas aeruginosa strain MCF182 IPC1369_13.1, whole genome shotgun sequence"
"RXBG01000016.1 Pseudomonas aeruginosa strain MCF178 IPC1366_16.1, whole genome shotgun sequence"
"RXBF01000013.1 Pseudomonas aeruginosa strain MCF104 IPC1367_13.1, whole genome shotgun sequence"
"RXBN01000027.1 Pseudomonas aeruginosa strain MCF206 IPC1356_27.1, whole genome shotgun sequence"
"RXBX01000016.1 Pseudomonas aeruginosa strain JYH9 IPC1220_16.1, whole genome shotgun sequence"
"RXCG01000010.1 Pseudomonas aeruginosa strain T4242 IPC1134_10.1, whole genome shotgun sequence"
"RXCL01000013.1 Pseudomonas aeruginosa strain 2810 IPC1111_13.1, whole genome shotgun sequence"
"RXCU01000013.1 Pseudomonas aeruginosa strain W15Aug23 IPC825_13.1, whole genome shotgun sequence"
"RXCR01000015.1 Pseudomonas aeruginosa strain W15Okt31 IPC829_15.1, whole genome shotgun sequence"
"RXDT01000024.1 Pseudomonas aeruginosa strain AUS456 IPC482_24.1, whole genome shotgun sequence"
"RXDV01000018.1 Pseudomonas aeruginosa strain AUS074 IPC479_18.1, whole genome shotgun sequence"
"RXDU01000021.1 Pseudomonas aeruginosa strain AUS455 IPC481_21.1, whole genome shotgun sequence"
"RXEL01000014.1 Pseudomonas aeruginosa strain AUS157 IPC396_14.1, whole genome shotgun sequence"
"RXEH01000013.1 Pseudomonas aeruginosa strain AUS176 IPC413_13.1, whole genome shotgun sequence"
"RXEI01000014.1 Pseudomonas aeruginosa strain AUS175 IPC412_14.1, whole genome shotgun sequence"
"RXEM01000012.1 Pseudomonas aeruginosa strain AUS156 IPC395_12.1, whole genome shotgun sequence"
"RXEW01000019.1 Pseudomonas aeruginosa strain AUS110 IPC357_19.1, whole genome shotgun sequence"
"RXFA01000014.1 Pseudomonas aeruginosa strain AUS277 IPC317_14.1, whole genome shotgun sequence"
"RXFK01000018.1 Pseudomonas aeruginosa strain AUS209 IPC229_18.1, whole genome shotgun sequence"
"RWLB01000009.1 Pseudomonas aeruginosa strain 19 IPC1602_9.1, whole genome shotgun sequence"
"RWLD01000016.1 Pseudomonas aeruginosa strain 17 IPC1600_16.1, whole genome shotgun sequence"
"RWLK01000014.1 Pseudomonas aeruginosa strain 11 IPC1593_14.1, whole genome shotgun sequence"
"RWLM01000022.1 Pseudomonas aeruginosa strain 9 IPC1591_22.1, whole genome shotgun sequence"
"RWLR01000008.1 Pseudomonas aeruginosa strain 4 IPC1586_8.1, whole genome shotgun sequence"
"RWLT01000014.1 Pseudomonas aeruginosa strain 2.1 IPC1584_14.1, whole genome shotgun sequence"
"RWLW01000009.1 Pseudomonas aeruginosa strain 4084336477 IPC1522_9.1, whole genome shotgun sequence"
"RWLX01000014.1 Pseudomonas aeruginosa strain 5014375233 IPC1521_14.1, whole genome shotgun sequence"
"RWLY01000014.1 Pseudomonas aeruginosa strain 4104355315 IPC1520_14.1, whole genome shotgun sequence"
"RWMF01000001.1 Pseudomonas aeruginosa strain 5024382738-25 IPC1513_1.1, whole genome shotgun sequence"
"RWMH01000016.1 Pseudomonas aeruginosa strain 4104355340-13 IPC1511_16.1, whole genome shotgun sequence"
"RWMG01000009.1 Pseudomonas aeruginosa strain 5024382738-26 IPC1512_9.1, whole genome shotgun sequence"
"RWMK01000018.1 Pseudomonas aeruginosa strain 5054408352 IPC1508_18.1, whole genome shotgun sequence"
"RWMI01000022.1 Pseudomonas aeruginosa strain 4104355340-15 IPC1510_22.1, whole genome shotgun sequence"
"RWMJ01000001.1 Pseudomonas aeruginosa strain 110238627 IPC1509_1.1, whole genome shotgun sequence"
"RWMV01000015.1 Pseudomonas aeruginosa strain 4044301968 IPC1496_15.1, whole genome shotgun sequence"
"RWMZ01000018.1 Pseudomonas aeruginosa strain 5034388513 IPC1491_18.1, whole genome shotgun sequence"
"RWNA01000017.1 Pseudomonas aeruginosa strain 5054408350-22 IPC1490_17.1, whole genome shotgun sequence"
"RWNB01000001.1 Pseudomonas aeruginosa strain 5054408350-20 IPC1489_1.1, whole genome shotgun sequence"
"RWNC01000001.1 Pseudomonas aeruginosa strain 5054408350-18 IPC1488_1.1, whole genome shotgun sequence"
"RWND01000012.1 Pseudomonas aeruginosa strain 4064320487 IPC1487_12.1, whole genome shotgun sequence"
"RWNG01000029.1 Pseudomonas aeruginosa strain 4094345258 IPC1481_29.1, whole genome shotgun sequence"
"RWNI01000023.1 Pseudomonas aeruginosa strain 5024379144-14 IPC1479_23.1, whole genome shotgun sequence"
"RWNH01000030.1 Pseudomonas aeruginosa strain 5024379144-15 IPC1480_30.1, whole genome shotgun sequence"
"RWNU01000001.1 Pseudomonas aeruginosa strain 6093 IPC1341_1.1, whole genome shotgun sequence"
"RWOJ01000017.1 Pseudomonas aeruginosa strain 6000.2 IPC1326_17.1, whole genome shotgun sequence"
"RWOH01000015.1 Pseudomonas aeruginosa strain 6001 IPC1328_15.1, whole genome shotgun sequence"
"RWOK01000017.1 Pseudomonas aeruginosa strain 6000.1 IPC1325_17.1, whole genome shotgun sequence"
"RWOT01000018.1 Pseudomonas aeruginosa strain 5993 IPC1316_18.1, whole genome shotgun sequence"
"RWOO01000012.1 Pseudomonas aeruginosa strain 5998 IPC1321_12.1, whole genome shotgun sequence"
"RWOU01000013.1 Pseudomonas aeruginosa strain 5992 IPC1315_13.1, whole genome shotgun sequence"
"RWPL01000017.1 Pseudomonas aeruginosa strain PA-CL532 IPC624_17.1, whole genome shotgun sequence"
"RWPP01000014.1 Pseudomonas aeruginosa strain PA-CL524 IPC620_14.1, whole genome shotgun sequence"
"RWPR01000017.1 Pseudomonas aeruginosa strain PA-CL521b IPC616_17.1, whole genome shotgun sequence"
"RWPU01000010.1 Pseudomonas aeruginosa strain PA-CL519 IPC613_10.1, whole genome shotgun sequence"
"RWPQ01000017.1 Pseudomonas aeruginosa strain PA-CL522b IPC618_17.1, whole genome shotgun sequence"
"RWPS01000019.1 Pseudomonas aeruginosa strain PA-CL521a IPC615_19.1, whole genome shotgun sequence"
"RWPV01000014.1 Pseudomonas aeruginosa strain PA-CL518 IPC612_14.1, whole genome shotgun sequence"
"RWPW01000019.1 Pseudomonas aeruginosa strain PA-CL517 IPC611_19.1, whole genome shotgun sequence"
"RWPX01000021.1 Pseudomonas aeruginosa strain PA-CL516 IPC610_21.1, whole genome shotgun sequence"
"RWPT01000013.1 Pseudomonas aeruginosa strain PA-CL520 IPC614_13.1, whole genome shotgun sequence"
"RWPZ01000017.1 Pseudomonas aeruginosa strain PA-CL514 IPC608_17.1, whole genome shotgun sequence"
"RWPY01000011.1 Pseudomonas aeruginosa strain PA-CL515 IPC609_11.1, whole genome shotgun sequence"
"RWQD01000011.1 Pseudomonas aeruginosa strain PA-CL510 IPC604_11.1, whole genome shotgun sequence"
"RWQC01000014.1 Pseudomonas aeruginosa strain PA-CL511 IPC605_14.1, whole genome shotgun sequence"
"RWQB01000014.1 Pseudomonas aeruginosa strain PA-CL512 IPC606_14.1, whole genome shotgun sequence"
"RWQE01000012.1 Pseudomonas aeruginosa strain PA-CL509 IPC603_12.1, whole genome shotgun sequence"
"RWQW01000015.1 Pseudomonas aeruginosa strain PAC97A IPC184_15.1, whole genome shotgun sequence"
"RWQZ01000017.1 Pseudomonas aeruginosa strain PAC91A IPC181_17.1, whole genome shotgun sequence"
"RWRA01000020.1 Pseudomonas aeruginosa strain PAC81B IPC180_20.1, whole genome shotgun sequence"
"RWRB01000021.1 Pseudomonas aeruginosa strain PAC81A IPC179_21.1, whole genome shotgun sequence"
"RWRJ01000014.1 Pseudomonas aeruginosa strain PAC98D IPC171_14.1, whole genome shotgun sequence"
"RWRM01000010.1 Pseudomonas aeruginosa strain PAC98A IPC168_10.1, whole genome shotgun sequence"
"RWRK01000011.1 Pseudomonas aeruginosa strain PAC98C IPC170_11.1, whole genome shotgun sequence"
"RWRL01000013.1 Pseudomonas aeruginosa strain PAC98B IPC169_13.1, whole genome shotgun sequence"
"RWRN01000014.1 Pseudomonas aeruginosa strain PAC80A IPC167_14.1, whole genome shotgun sequence"
"RWRO01000015.1 Pseudomonas aeruginosa strain PAC70B IPC166_15.1, whole genome shotgun sequence"
"RWRR01000014.1 Pseudomonas aeruginosa strain PAC31B IPC163_14.1, whole genome shotgun sequence"
"RWRP01000014.1 Pseudomonas aeruginosa strain PAC70A IPC165_14.1, whole genome shotgun sequence"
"RWRQ01000015.1 Pseudomonas aeruginosa strain PAC42A IPC164_15.1, whole genome shotgun sequence"
"RWTK01000009.1 Pseudomonas aeruginosa strain PAC61A IPC115_9.1, whole genome shotgun sequence"
"RWTL01000010.1 Pseudomonas aeruginosa strain PAC46A IPC114_10.1, whole genome shotgun sequence"
"RWTM01000001.1 Pseudomonas aeruginosa strain PAC5B IPC113_1.1, whole genome shotgun sequence"
"RWTP01000013.1 Pseudomonas aeruginosa strain 333S200112BSL_PA1 IPC78_13.1, whole genome shotgun sequence"
"RWTR01000010.1 Pseudomonas aeruginosa strain 326S290611BSL_PA2 IPC76_10.1, whole genome shotgun sequence"
"RWTS01000013.1 Pseudomonas aeruginosa strain 326S290611BSL_PA1 IPC75_13.1, whole genome shotgun sequence"
"RWTQ01000019.1 Pseudomonas aeruginosa strain 326S290611BSL_PA3 IPC77_19.1, whole genome shotgun sequence"
"RWTU01000022.1 Pseudomonas aeruginosa strain 320S290711BSL_PA1 IPC73_22.1, whole genome shotgun sequence"
"RWTT01000023.1 Pseudomonas aeruginosa strain 320S290711BSL_PA2 IPC74_23.1, whole genome shotgun sequence"
"RWTX01000001.1 Pseudomonas aeruginosa strain 313s141011BSL_PA1 IPC70_1.1, whole genome shotgun sequence"
"RWVG01000013.1 Pseudomonas aeruginosa strain 37s051011BSL_PA1 IPC29_13.1, whole genome shotgun sequence"
"RWVJ01000021.1 Pseudomonas aeruginosa strain 4094345290 IPC1482_20.1, whole genome shotgun sequence"
"RWRS01000012.1 Pseudomonas aeruginosa strain PAC31A IPC162_12.1, whole genome shotgun sequence"
"MVGY01000019.1 Pseudomonas aeruginosa strain ATCC BAA-2111 IPC1579_19.1, whole genome shotgun sequence"
"MCLY01000020.1 Pseudomonas aeruginosa strain 2C22 isolate 57P31PA IPC1274_20.1, whole genome shotgun sequence"
"MCMD01000032.1 Pseudomonas aeruginosa strain 239A isolate 13121-1 IPC1269_32.1, whole genome shotgun sequence"
"MCML01000010.1 Pseudomonas aeruginosa strain E82A isolate AES-1R IPC1257_10.1, whole genome shotgun sequence"
"MCMP01000018.1 Pseudomonas aeruginosa strain 2A42 isolate U018A IPC94_18.1, whole genome shotgun sequence"
"NSMS01000027.1 Pseudomonas aeruginosa strain E1-WATER-2 IPC1469_27.1, whole genome shotgun sequence"
"NSNA01000020.1 Pseudomonas aeruginosa strain PA-W42 IPC1299_20.1, whole genome shotgun sequence"
"NSNE01000017.1 Pseudomonas aeruginosa strain PA-W36 IPC1295_17.1, whole genome shotgun sequence"
"NSNH01000020.1 Pseudomonas aeruginosa strain PA-W31 IPC1292_20.1, whole genome shotgun sequence"
"NSNL01000024.1 Pseudomonas aeruginosa strain PA-W23 IPC1288_24.1, whole genome shotgun sequence"
"NSNN01000011.1 Pseudomonas aeruginosa strain PA-W16 IPC1286_11.1, whole genome shotgun sequence"
"NSNQ01000009.1 Pseudomonas aeruginosa strain PA-W5 IPC1283_9.1, whole genome shotgun sequence"
"NSNS01000010.1 Pseudomonas aeruginosa strain PA-W3 IPC1281_10.1, whole genome shotgun sequence"
"NSOP01000002.1 Pseudomonas aeruginosa strain X24509 IPC1184_2.1, whole genome shotgun sequence"
"NSOU01000010.1 Pseudomonas aeruginosa strain CF27 IPC1173_10.1, whole genome shotgun sequence"
"NSPO01000022.1 Pseudomonas aeruginosa strain A1(A2448) IPC1122_22.1, whole genome shotgun sequence"
"NSQO01000016.1 Pseudomonas aeruginosa strain D1 IPC1045_16.1, whole genome shotgun sequence"
"NSQP01000009.1 Pseudomonas aeruginosa strain C3 IPC1043_9.1, whole genome shotgun sequence"
"NSQU01000007.1 Pseudomonas aeruginosa strain 020MIC IPC1033_7.1, whole genome shotgun sequence"
"NSQY01000014.1 Pseudomonas aeruginosa strain DUN-013 IPC1018_14.1, whole genome shotgun sequence"
"NSRA01000010.1 Pseudomonas aeruginosa strain DUN-009B IPC1014_10.1, whole genome shotgun sequence"
"NSRC01000010.1 Pseudomonas aeruginosa strain DUN-007-2 IPC1006_10.1, whole genome shotgun sequence"
"NSRG01000021.1 Pseudomonas aeruginosa strain DUN-002C IPC991_21.1, whole genome shotgun sequence"
"NSRR01000014.1 Pseudomonas aeruginosa strain U454A IPC977_14.1, whole genome shotgun sequence"
"NSSA01000012.1 Pseudomonas aeruginosa strain U0310A IPC935_12.1, whole genome shotgun sequence"
"NSRZ01000008.1 Pseudomonas aeruginosa strain U0330A IPC940_8.1, whole genome shotgun sequence"
"NSSB01000021.1 Pseudomonas aeruginosa strain U0306 IPC934_21.1, whole genome shotgun sequence"
"NSSQ01000003.1 Pseudomonas aeruginosa strain PT31M IPC881_3.1, whole genome shotgun sequence"
"NSSY01000009.1 Pseudomonas aeruginosa strain Aa249 IPC858_9.1, whole genome shotgun sequence"
"NSTG01000010.1 Pseudomonas aeruginosa strain LiA18_2003 IPC786_10.1, whole genome shotgun sequence"
"NSUA01000010.1 Pseudomonas aeruginosa strain CPHL5083 IPC730_10.1, whole genome shotgun sequence"
"NSUG01000012.1 Pseudomonas aeruginosa strain IC1 IPC720_12.1, whole genome shotgun sequence"
"NSUI01000005.1 Pseudomonas aeruginosa strain C3128 IPC715_5.1, whole genome shotgun sequence"
"NSUR01000020.1 Pseudomonas aeruginosa strain A237 IPC696_20.1, whole genome shotgun sequence"
"NSUU01000006.1 Pseudomonas aeruginosa strain A17 IPC693_6.1, whole genome shotgun sequence"
"NSVC01000015.1 Pseudomonas aeruginosa strain Co399645 IPC665_15.1, whole genome shotgun sequence"
"NSVJ01000001.1 Pseudomonas aeruginosa strain Rsan-ver IPC593_1.1, whole genome shotgun sequence"
"NSVP01000010.1 Pseudomonas aeruginosa strain AMT0020-1 IPC550_10.1, whole genome shotgun sequence"
"NSVX01000018.1 Pseudomonas aeruginosa strain AUS149 IPC509_18.1, whole genome shotgun sequence"
"NSWB01000010.1 Pseudomonas aeruginosa strain AUS345 IPC496_10.1, whole genome shotgun sequence"
"NSWC01000010.1 Pseudomonas aeruginosa strain AUS344 IPC495_10.1, whole genome shotgun sequence"
"NSWD01000009.1 Pseudomonas aeruginosa strain AUS021 IPC494_9.1, whole genome shotgun sequence"
"NSWQ01000018.1 Pseudomonas aeruginosa strain AUS674 IPC462_18.1, whole genome shotgun sequence"
"NSWS01000019.1 Pseudomonas aeruginosa strain AUS263 IPC453_19.1, whole genome shotgun sequence"
"NSXC01000011.1 Pseudomonas aeruginosa strain AUS392 IPC426_11.1, whole genome shotgun sequence"
"NSXH01000018.1 Pseudomonas aeruginosa strain AUS506 IPC389_18.1, whole genome shotgun sequence"
"NSXJ01000018.1 Pseudomonas aeruginosa strain AUS138 IPC379_18.1, whole genome shotgun sequence"
"NSXO01000024.1 Pseudomonas aeruginosa strain AUS111 IPC358_24.1, whole genome shotgun sequence"
"NSXR01000010.1 Pseudomonas aeruginosa strain AUS503 IPC353_10.1, whole genome shotgun sequence"
"NSXW01000020.1 Pseudomonas aeruginosa strain AUS066 IPC345_20.1, whole genome shotgun sequence"
"NSXU01000016.1 Pseudomonas aeruginosa strain AUS077 IPC347_16.1, whole genome shotgun sequence"
"NSXT01000011.1 Pseudomonas aeruginosa strain AUS089 IPC349_11.1, whole genome shotgun sequence"
"NSXV01000017.1 Pseudomonas aeruginosa strain AUS073 IPC346_17.1, whole genome shotgun sequence"
"NSYA01000012.1 Pseudomonas aeruginosa strain AUS026 IPC334_12.1, whole genome shotgun sequence"
"NSYB01000017.1 Pseudomonas aeruginosa strain AUS304 IPC327_17.1, whole genome shotgun sequence"
"NSYD01000013.1 Pseudomonas aeruginosa strain AUS389 IPC321_13.1, whole genome shotgun sequence"
"NSYR01000016.1 Pseudomonas aeruginosa strain AUS301 IPC279_16.1, whole genome shotgun sequence"
"NSYS01000022.1 Pseudomonas aeruginosa strain AUS476 IPC277_22.1, whole genome shotgun sequence"
"NSYU01000007.1 Pseudomonas aeruginosa strain AUS343 IPC274_7.1, whole genome shotgun sequence"
"NSZB01000009.1 Pseudomonas aeruginosa strain AUS229 IPC255_9.1, whole genome shotgun sequence"
"NSZG01000011.1 Pseudomonas aeruginosa strain AUS210 IPC231_11.1, whole genome shotgun sequence"
"NSZF01000012.1 Pseudomonas aeruginosa strain AUS213 IPC234_12.1, whole genome shotgun sequence"
"NSZJ01000010.1 Pseudomonas aeruginosa strain AUS207 IPC226_10.1, whole genome shotgun sequence"
"NSZK01000022.1 Pseudomonas aeruginosa strain AUS205 IPC224_22.1, whole genome shotgun sequence"
"NSZO01000013.1 Pseudomonas aeruginosa strain AUS185 IPC203_13.1, whole genome shotgun sequence"
"NTAB01000024.1 Pseudomonas aeruginosa strain 982 IPC99_24.1, whole genome shotgun sequence"
"NTAM01000012.1 Pseudomonas aeruginosa strain PA-W30 IPC18_12.1, whole genome shotgun sequence"
"NTAS01000010.1 Pseudomonas aeruginosa strain PA-W19 IPC12_10.1, whole genome shotgun sequence"
"NTAT01000009.1 Pseudomonas aeruginosa strain PA-W18 IPC11_9.1, whole genome shotgun sequence"
"NTBD01000022.1 Pseudomonas aeruginosa strain PA-W2 IPC1_22.1, whole genome shotgun sequence"
"RWZH01000016.1 Pseudomonas aeruginosa strain 43CFBRPA IPC1624_16.1, whole genome shotgun sequence"
"RWZK01000018.1 Pseudomonas aeruginosa strain 20CFBRPA IPC1621_18.1, whole genome shotgun sequence"
"RWZN01000014.1 Pseudomonas aeruginosa strain SMC1596 IPC1618_14.1, whole genome shotgun sequence"
"RWZV01000011.1 Pseudomonas aeruginosa strain OY15 IPC1434_11.1, whole genome shotgun sequence"
"RWZP01000020.1 Pseudomonas aeruginosa strain SMC1587 IPC1616_20.1, whole genome shotgun sequence"
"RWZU01000014.1 Pseudomonas aeruginosa strain Zw64_2 IPC1436_14.1, whole genome shotgun sequence"
"RXAC01000011.1 Pseudomonas aeruginosa strain HCF73 IPC1422_11.1, whole genome shotgun sequence"
"RXAJ01000010.1 Pseudomonas aeruginosa strain HCF238 IPC1412_10.1, whole genome shotgun sequence"
"RXAM01000018.1 Pseudomonas aeruginosa strain HCF55 IPC1407_18.1, whole genome shotgun sequence"
"RXAK01000012.1 Pseudomonas aeruginosa strain HCF100 IPC1409_12.1, whole genome shotgun sequence"
"RXAO01000019.1 Pseudomonas aeruginosa strain HCF19 IPC1401_19.1, whole genome shotgun sequence"
"RXAV01000008.1 Pseudomonas aeruginosa strain Zw64 IPC1384_8.1, whole genome shotgun sequence"
"RXBC01000008.1 Pseudomonas aeruginosa strain HJ2 IPC1374_8.1, whole genome shotgun sequence"
"RXBI01000011.1 Pseudomonas aeruginosa strain MCF134 IPC1364_11.1, whole genome shotgun sequence"
"RXBL01000015.1 Pseudomonas aeruginosa strain MCF879 IPC1361_15.1, whole genome shotgun sequence"
"RXBR01000014.1 Pseudomonas aeruginosa strain JYH21 IPC1232_14.1, whole genome shotgun sequence"
"RXBU01000009.1 Pseudomonas aeruginosa strain JYH15 IPC1226_9.1, whole genome shotgun sequence"
"RXCA01000008.1 Pseudomonas aeruginosa strain MSH3 IPC1178_8.1, whole genome shotgun sequence"
"RXBZ01000009.1 Pseudomonas aeruginosa strain MSH10 IPC1179_9.1, whole genome shotgun sequence"
"RXCQ01000008.1 Pseudomonas aeruginosa strain W5Aug28 IPC831_8.1, whole genome shotgun sequence"
"RXDB01000010.1 Pseudomonas aeruginosa strain Jp241 IPC755_10.1, whole genome shotgun sequence"
"RXDF01000011.1 Pseudomonas aeruginosa strain AMT0047-2 IPC566_11.1, whole genome shotgun sequence"
"RXDX01000001.1 Pseudomonas aeruginosa strain AUS526 IPC450_1.1, whole genome shotgun sequence"
"RXEE01000010.1 Pseudomonas aeruginosa strain AUS464 IPC432_10.1, whole genome shotgun sequence"
"RXEK01000011.1 Pseudomonas aeruginosa strain AUS158 IPC397_11.1, whole genome shotgun sequence"
"RXEP01000011.1 Pseudomonas aeruginosa strain AUS141 IPC382_11.1, whole genome shotgun sequence"
"RXEQ01000020.1 Pseudomonas aeruginosa strain AUS311 IPC381_20.1, whole genome shotgun sequence"
"RXER01000022.1 Pseudomonas aeruginosa strain AUS139 IPC380_22.1, whole genome shotgun sequence"
"RXEV01000013.1 Pseudomonas aeruginosa strain AUS122 IPC367_13.1, whole genome shotgun sequence"
"RXEX01000009.1 Pseudomonas aeruginosa strain AUS523 IPC331_9.1, whole genome shotgun sequence"
"RXFG01000016.1 Pseudomonas aeruginosa strain AUS222 IPC247_16.1, whole genome shotgun sequence"
"RXFJ01000018.1 Pseudomonas aeruginosa strain AUS214 IPC236_18.1, whole genome shotgun sequence"
"RWKY01000012.1 Pseudomonas aeruginosa strain 22.1 IPC1605_12.1, whole genome shotgun sequence"
"RWKX01000030.1 Pseudomonas aeruginosa strain 22.2 IPC1606_30.1, whole genome shotgun sequence"
"RWLC01000021.1 Pseudomonas aeruginosa strain 18 IPC1601_21.1, whole genome shotgun sequence"
"RWLF01000015.1 Pseudomonas aeruginosa strain 15 IPC1598_15.1, whole genome shotgun sequence"
"RWLL01000019.1 Pseudomonas aeruginosa strain 10 IPC1592_19.1, whole genome shotgun sequence"
"RWLQ01000003.1 Pseudomonas aeruginosa strain 5 IPC1587_3.1, whole genome shotgun sequence"
"RWLS01000017.1 Pseudomonas aeruginosa strain 3 IPC1585_17.1, whole genome shotgun sequence"
"RWLO01000009.1 Pseudomonas aeruginosa strain 7 IPC1589_9.1, whole genome shotgun sequence"
"RWLV01000023.1 Pseudomonas aeruginosa strain 3052425557 IPC1523_23.1, whole genome shotgun sequence"
"RWMB01000007.1 Pseudomonas aeruginosa strain 3020837212 IPC1517_7.1, whole genome shotgun sequence"
"RWME01000002.1 Pseudomonas aeruginosa strain 5023272159 IPC1514_2.1, whole genome shotgun sequence"
"RWMO01000010.1 Pseudomonas aeruginosa strain 2042723558 IPC1504_10.1, whole genome shotgun sequence"
"RWMP01000008.1 Pseudomonas aeruginosa strain 1042828174-21 IPC1503_8.1, whole genome shotgun sequence"
"RWMR01000005.1 Pseudomonas aeruginosa strain 4124363474-14 IPC1501_5.1, whole genome shotgun sequence"
"RWMS01000003.1 Pseudomonas aeruginosa strain 4124363474-15 IPC1500_3.1, whole genome shotgun sequence"
"RWMY01000023.1 Pseudomonas aeruginosa strain 3052425557 IPC1492_23.1, whole genome shotgun sequence"
"RWNP01000013.1 Pseudomonas aeruginosa strain 6098 IPC1347_13.1, whole genome shotgun sequence"
"RWNO01000012.1 Pseudomonas aeruginosa strain 6099 IPC1348_12.1, whole genome shotgun sequence"
"RWNQ01000019.1 Pseudomonas aeruginosa strain 6097.3 IPC1346_19.1, whole genome shotgun sequence"
"RWNR01000019.1 Pseudomonas aeruginosa strain 6097.1 IPC1345_19.1, whole genome shotgun sequence"
"RWNT01000023.1 Pseudomonas aeruginosa strain 6095 IPC1342_23.1, whole genome shotgun sequence"
"RWNY01000008.1 Pseudomonas aeruginosa strain 6090 IPC1337_8.1, whole genome shotgun sequence"
"RWOC01000011.1 Pseudomonas aeruginosa strain 6086.2 IPC1333_11.1, whole genome shotgun sequence"
"RWOF01000014.1 Pseudomonas aeruginosa strain 6004 IPC1330_14.1, whole genome shotgun sequence"
"RWOG01000011.1 Pseudomonas aeruginosa strain 6003 IPC1329_11.1, whole genome shotgun sequence"
"RWOI01000020.1 Pseudomonas aeruginosa strain 6000.3 IPC1327_20.1, whole genome shotgun sequence"
"RWOE01000023.1 Pseudomonas aeruginosa strain 6085 IPC1331_23.1, whole genome shotgun sequence"
"RWOM01000014.1 Pseudomonas aeruginosa strain 5999.2 IPC1323_14.1, whole genome shotgun sequence"
"RWOL01000022.1 Pseudomonas aeruginosa strain 5999.3 IPC1324_22.1, whole genome shotgun sequence"
"RWOP01000012.1 Pseudomonas aeruginosa strain 5997 IPC1320_12.1, whole genome shotgun sequence"
"RWON01000015.1 Pseudomonas aeruginosa strain 5999.1 IPC1322_15.1, whole genome shotgun sequence"
"RWOQ01000022.1 Pseudomonas aeruginosa strain 5996 IPC1319_22.1, whole genome shotgun sequence"
"RWOR01000010.1 Pseudomonas aeruginosa strain 5995 IPC1318_10.1, whole genome shotgun sequence"
"RWOS01000004.1 Pseudomonas aeruginosa strain 5994 IPC1317_4.1, whole genome shotgun sequence"
"RWOX01000011.1 Pseudomonas aeruginosa strain 5990.2 IPC1312_11.1, whole genome shotgun sequence"
"RWOY01000010.1 Pseudomonas aeruginosa strain 5990.1 IPC1311_10.1, whole genome shotgun sequence"
"RWOV01000004.1 Pseudomonas aeruginosa strain 5991 IPC1314_4.1, whole genome shotgun sequence"
"RWPD01000012.1 Pseudomonas aeruginosa strain 5985 IPC1306_12.1, whole genome shotgun sequence"
"RWPE01000011.1 Pseudomonas aeruginosa strain PA-CL549 IPC634_11.1, whole genome shotgun sequence"
"RWPF01000015.1 Pseudomonas aeruginosa strain PA-CL547b IPC633_15.1, whole genome shotgun sequence"
"RWPG01000002.1 Pseudomonas aeruginosa strain PA-CL545b IPC632_2.1, whole genome shotgun sequence"
"RWPH01000011.1 Pseudomonas aeruginosa strain PA-CL542b IPC630_11.1, whole genome shotgun sequence"
"RWPK01000010.1 Pseudomonas aeruginosa strain PA-CL534a IPC625_10.1, whole genome shotgun sequence"
"RWPI01000014.1 Pseudomonas aeruginosa strain PA-CL542a IPC629_14.1, whole genome shotgun sequence"
"RWPM01000009.1 Pseudomonas aeruginosa strain PA-CL529 IPC623_9.1, whole genome shotgun sequence"
"RWPN01000011.1 Pseudomonas aeruginosa strain PA-CL528 IPC622_11.1, whole genome shotgun sequence"
"RWPO01000017.1 Pseudomonas aeruginosa strain PA-CL527 IPC621_17.1, whole genome shotgun sequence"
"RWQG01000001.1 Pseudomonas aeruginosa strain PA-CL507 IPC601_1.1, whole genome shotgun sequence"
"RWQF01000001.1 Pseudomonas aeruginosa strain PA-CL508 IPC602_1.1, whole genome shotgun sequence"
"RWQH01000012.1 Pseudomonas aeruginosa strain PA-CL506b IPC600_12.1, whole genome shotgun sequence"
"RWQJ01000001.1 Pseudomonas aeruginosa strain PA-CL504 IPC598_1.1, whole genome shotgun sequence"
"RWQL01000011.1 Pseudomonas aeruginosa strain PA-CL501 IPC596_11.1, whole genome shotgun sequence"
"RWQI01000001.1 Pseudomonas aeruginosa strain PA-CL505 IPC599_1.1, whole genome shotgun sequence"
"RWQK01000003.1 Pseudomonas aeruginosa strain PA-CL502 IPC597_3.1, whole genome shotgun sequence"
"RWRC01000011.1 Pseudomonas aeruginosa strain PAC112A IPC178_11.1, whole genome shotgun sequence"
"RWRE01000018.1 Pseudomonas aeruginosa strain PAC60A IPC176_18.1, whole genome shotgun sequence"
"RWRH01000017.1 Pseudomonas aeruginosa strain PAC38B IPC173_17.1, whole genome shotgun sequence"
"RWRF01000016.1 Pseudomonas aeruginosa strain PAC127B IPC175_16.1, whole genome shotgun sequence"
"RWRG01000013.1 Pseudomonas aeruginosa strain PAC127A IPC174_13.1, whole genome shotgun sequence"
"RWRI01000015.1 Pseudomonas aeruginosa strain PAC38A IPC172_15.1, whole genome shotgun sequence"
"RWRU01000012.1 Pseudomonas aeruginosa strain PAC115A IPC159_12.1, whole genome shotgun sequence"
"RWRV01000010.1 Pseudomonas aeruginosa strain PAC108A IPC158_10.1, whole genome shotgun sequence"
